# The PEARS id is given here as only an integer.
# The user must figure out if it is part of northern or southern fields.
# pearsid field urcol mstar threedid threedzphot
34427 GOODS-N 1.09 9.56 6884 0.89
33944 GOODS-N 0.93 8.61 6926 0.70
34773 GOODS-N 1.14 9.45 7075 1.28
35090 GOODS-N 0.80 8.58 7169 0.68
35700 GOODS-N 1.13 8.38 7269 0.75
35156 GOODS-N 1.78 10.83 7312 1.20
35309 GOODS-N 1.57 10.14 7344 1.19
36830 GOODS-N 1.04 8.44 7548 0.85
36342 GOODS-N 0.94 9.39 7572 1.24
37116 GOODS-N 0.99 7.81 7614 0.62
37285 GOODS-N 1.23 8.36 7645 0.77
36739 GOODS-N 1.63 9.56 7688 1.19
37044 GOODS-N 2.14 10.69 7701 1.23
36569 GOODS-N 0.96 9.39 7756 0.94
36989 GOODS-N 1.97 10.00 7759 0.86
37541 GOODS-N 0.78 7.75 7775 0.61
36639 GOODS-N 1.58 10.02 7846 0.88
37670 GOODS-N 1.03 8.48 7880 0.92
36842 GOODS-N 0.83 9.17 7892 0.91
37842 GOODS-N 1.83 8.66 7918 0.66
38146 GOODS-N 0.71 8.29 7929 1.02
37908 GOODS-N 0.78 8.60 7943 1.09
37644 GOODS-N 0.97 9.09 7978 0.93
36944 GOODS-N 1.06 9.62 8024 0.84
38345 GOODS-N 0.85 8.99 8045 1.13
38344 GOODS-N 1.20 9.08 8068 0.97
36105 GOODS-N 2.28 10.83 8114 0.91
37982 GOODS-N 2.09 10.31 8122 0.90
37225 GOODS-N 1.20 9.34 8136 0.66
38812 GOODS-N 0.68 7.96 8177 0.65
38392 GOODS-N 1.04 8.64 8188 0.80
38120 GOODS-N 1.40 9.66 8382 0.93
39394 GOODS-N 1.07 8.22 8395 0.82
38445 GOODS-N 1.60 9.59 8444 0.56
40010 GOODS-N 1.44 8.92 8550 0.83
39311 GOODS-N 1.05 8.63 8700 0.65
39842 GOODS-N 0.77 9.12 8706 0.88
40004 GOODS-N 2.20 9.89 8743 0.91
39487 GOODS-N 0.84 9.43 8752 0.96
39987 GOODS-N 1.92 9.07 8785 0.61
39728 GOODS-N 1.35 9.27 8859 0.77
39455 GOODS-N 1.79 10.06 8982 0.93
40790 GOODS-N 2.27 9.67 8986 0.59
41018 GOODS-N 1.01 9.03 8996 1.01
41031 GOODS-N 1.52 9.59 9035 0.83
41172 GOODS-N 0.69 8.18 9051 0.65
41342 GOODS-N 1.13 9.59 9213 0.92
41064 GOODS-N 1.09 8.98 9216 0.79
41499 GOODS-N 0.98 8.87 9264 0.83
42132 GOODS-N 0.32 8.62 9294 1.06
41931 GOODS-N 1.97 9.53 9297 1.03
41546 GOODS-N 1.22 9.26 9301 1.15
42058 GOODS-N 0.46 8.64 9314 0.94
42245 GOODS-N 0.55 8.27 9342 0.91
41540 GOODS-N 1.00 9.43 9350 0.92
41932 GOODS-N 0.84 8.81 9356 0.94
41630 GOODS-N 1.42 10.38 9440 1.18
42014 GOODS-N 0.99 9.56 9513 0.87
42526 GOODS-N 0.66 8.63 9520 0.75
41388 GOODS-N 2.10 10.57 9582 0.99
42430 GOODS-N 1.01 9.52 9595 0.98
40991 GOODS-N 2.39 11.42 9623 0.99
43220 GOODS-N 0.98 8.06 9631 0.57
43079 GOODS-N 0.82 8.59 9639 0.91
41913 GOODS-N 1.76 10.71 9766 1.10
44207 GOODS-N 0.76 8.43 9997 0.70
44367 GOODS-N 0.83 8.68 10076 0.98
44060 GOODS-N 1.83 9.35 10117 0.99
43713 GOODS-N 2.24 10.43 10179 1.31
44678 GOODS-N 1.30 8.87 10199 1.04
44001 GOODS-N 2.44 10.20 10211 0.88
43618 GOODS-N 2.18 10.91 10224 0.74
44562 GOODS-N 1.83 11.17 10280 1.11
44835 GOODS-N 0.65 8.76 10286 1.09
45163 GOODS-N 0.61 7.93 10291 0.89
44021 GOODS-N 1.18 8.97 10316 0.76
44078 GOODS-N 2.13 10.85 10338 0.98
43991 GOODS-N 2.15 10.22 10386 1.02
44756 GOODS-N 2.26 10.78 10539 0.99
45026 GOODS-N 1.97 10.70 10715 0.97
45321 GOODS-N 0.79 8.28 10763 0.56
46348 GOODS-N 1.31 8.77 10784 0.90
46085 GOODS-N 1.14 8.32 10786 0.68
45117 GOODS-N 0.72 8.94 10812 0.97
45150 GOODS-N 1.40 9.56 10856 0.92
45506 GOODS-N 0.86 9.03 10857 1.01
46214 GOODS-N 1.37 9.20 10939 0.94
45958 GOODS-N 1.98 10.23 10953 0.98
45496 GOODS-N 1.70 10.10 10968 0.99
46952 GOODS-N 0.84 8.53 11046 0.94
45451 GOODS-N 1.98 10.32 11067 0.83
46694 GOODS-N 0.66 8.73 11089 0.96
46914 GOODS-N 1.06 9.15 11143 0.92
46626 GOODS-N 0.76 8.93 11159 0.95
47644 GOODS-N 0.38 7.82 11280 0.87
47511 GOODS-N 1.17 8.66 11293 0.94
46546 GOODS-N 0.76 9.63 11332 1.24
47252 GOODS-N 0.61 9.28 11393 0.96
46766 GOODS-N 2.26 10.59 11397 1.02
46687 GOODS-N 1.05 9.01 11477 0.97
48681 GOODS-N 1.57 8.74 11769 0.86
48849 GOODS-N 0.82 7.88 11778 0.57
48514 GOODS-N 1.00 8.88 11837 0.92
48954 GOODS-N 0.84 8.03 11856 0.86
49098 GOODS-N 0.97 8.56 11872 0.87
48229 GOODS-N 1.05 8.83 11900 0.66
48216 GOODS-N 0.97 9.44 11961 0.98
49001 GOODS-N 1.54 9.29 11997 0.83
48250 GOODS-N 0.69 8.85 12042 1.19
48189 GOODS-N 1.73 10.56 12078 0.99
50265 GOODS-N 0.35 7.57 12294 0.69
50210 GOODS-N 0.58 8.00 12341 0.65
49779 GOODS-N 2.07 10.14 12451 0.97
50542 GOODS-N 0.83 8.71 12454 0.95
49569 GOODS-N 2.08 9.80 12460 0.80
48650 GOODS-N 2.03 10.51 12511 0.93
50439 GOODS-N 2.15 10.50 12641 1.07
50422 GOODS-N 1.06 9.35 12747 0.75
51485 GOODS-N 0.95 9.01 12780 0.98
51988 GOODS-N 0.27 7.42 12846 0.70
51220 GOODS-N 0.87 8.90 12864 1.02
