#These indices in the first column correspond to the extensions (add 1 to the index shown here) of the fits file containing the comparison spectra.
#The list of indices corresponds to those similar to the spectrum whose index is in the first col.
0,58 116 1140 1198 1256 2396 3477 4617 4675 5757 5815 6955 
1,59 117 1141 1199 1257 2338 2397 3420 3478 3536 4560 4618 4676 5700 5758 5816 6840 6956 8037 9177 9235 10317 10375 11515 
2,60 1142 1200 2281 2282 2339 3421 3479 3537 4561 4619 4677 5701 5759 5817 6841 6898 6957 7980 8038 8096 9120 9178 9236 10260 10318 10376 11400 11516 12597 13737 13795 14877 14935 16075 
3,61 1143 1200 1201 2282 2283 2340 3422 3480 3538 4562 4620 4678 5702 5759 5818 6841 6899 6957 7981 8039 8097 9121 9179 9237 10261 10377 11458 11575 12540 12598 12656 12715 13680 13738 13796 13855 14820 14936 14994 16134 17157 17274 18297 18355 19437 19495 20693 21833 22801 23941 25081 26220 26278 27360 27418 28500 28558 28616 29640 29698 29756 30896 31977 33117 34257 
4,5 61 62 120 237 296 1144 1201 1202 1259 1260 1318 1377 2284 2341 2399 2458 3481 3539 3598 4679 4737 4796 4855 4914 4973 5818 5819 5877 5936 5995 6054 6171 6958 7017 7076 7135 7193 7252 7311 7369 7427 8098 8157 8274 8333 8392 8450 8509 8567 8625 8682 9238 9296 9355 9414 9473 9531 9590 9648 9706 9707 9764 9821 9822 9879 9936 9993 9994 10050 10051 10107 10108 10164 10165 10221 10222 10436 10495 10554 10612 10671 10729 10730 10787 10788 10845 10846 10903 10904 10961 11018 11019 11075 11076 11132 11133 11189 11190 11246 11247 11248 11303 11304 11305 11360 11361 11362 11576 11635 11693 11752 11810 11811 11869 11927 11985 12042 12043 12100 12101 12157 12158 12214 12215 12271 12272 12329 12330 12386 12387 12443 12444 12500 12501 12715 12774 12833 12892 12950 13008 13009 13066 13067 13124 13125 13182 13239 13240 13296 13297 13354 13411 13412 13468 13469 13525 13526 13582 13583 13639 13640 13855 13914 13973 14031 14090 14148 14206 14264 14321 14322 14378 14379 14436 14437 14493 14494 14550 14551 14607 14608 14664 14665 14721 14722 14778 14779 14995 15054 15171 15229 15287 15288 15345 15346 15403 15461 15518 15519 15575 15576 15632 15633 15689 15690 15746 15747 15803 15804 15861 15918 16135 16252 16311 16369 16427 16485 16543 16600 16657 16658 16715 16772 16829 16886 16943 17000 17001 17057 17058 17333 17392 17450 17509 17567 17624 17625 17682 17739 17740 17797 17854 17911 17912 17968 17969 18025 18026 18082 18083 18139 18140 18196 18197 18473 18590 18648 18706 18764 18822 18879 18936 18993 18994 19051 19108 19165 19222 19279 19336 19671 19730 19788 19846 19904 19961 20018 20019 20076 20133 20190 20247 20304 20361 20418 20475 20752 20811 20869 20985 21043 21101 21158 21215 21272 21329 21330 21387 21444 21501 21558 21615 21892 22009 22067 22125 22183 22240 22355 22412 22469 22526 22583 22640 22697 22754 23999 24116 25197 25256 26337 26631 27477 27653 27712 27771 27829 28558 28617 28675 28734 28793 28852 28910 28969 29027 29085 29640 29698 29815 29874 29933 29991 30050 30108 30166 30167 30224 30225 30282 30339 30340 30397 30454 30511 30568 30625 30682 30739 30780 30838 30896 30955 31072 31131 31189 31248 31306 31363 31364 31421 31422 31478 31479 31536 31593 31594 31650 31651 31707 31708 31764 31765 31821 31822 31878 31879 31920 31978 32036 32153 32212 32270 32329 32387 32445 32503 32560 32561 32617 32618 32675 32676 32732 32733 32789 32790 32846 32847 32903 32904 32960 32961 33017 33018 33176 33234 33293 33352 33410 33468 33526 33527 33584 33585 33642 33699 33700 33757 33814 33815 33871 33872 33928 33929 33985 33986 34042 34043 34099 34100 34156 34157 34257 34374 34433 34491 34550 34608 34666 34724 34781 34782 34839 34896 34897 34953 34954 35010 35011 35067 35068 35124 35125 35181 35182 35238 35239 35295 35296 35397 35455 35514 35572 35631 35689 35747 35805 35863 35920 35921 35978 36035 36036 36092 36093 36149 36150 36206 36207 36263 36264 36320 36321 36377 36378 36434 36435 36537 36595 36712 36829 36887 36945 37002 37003 37060 37117 37118 37174 37175 37232 37289 37346 37403 37460 37517 37574 37735 37793 37852 37910 37968 38026 38027 38084 38142 38199 38200 38257 38314 38371 38428 38429 38485 38486 38542 38543 38599 38600 38656 38657 38713 38714 38875 38933 39050 39108 39166 39224 39281 39282 39339 39396 39453 39454 39510 39511 39567 39568 39624 39625 39681 39682 39738 39739 39795 39796 39852 39853 40073 40131 40248 40306 40363 40421 40478 40535 40536 40593 40650 40707 40764 40821 40878 40935 40992 41154 41271 41329 41387 41445 41503 41560 41618 41675 41732 41789 41846 41903 41960 42017 42074 42075 42131 42132 42294 42469 42527 42585 42700 42757 42872 42929 42986 43043 43100 43157 43214 43271 43434 43492 43782 43897 43954 44632 44690 44864 45265 68516 68575 69597 71994 
6,63 64 121 179 297 356 1145 1146 1203 1261 1319 1496 1555 1614 2284 2285 2286 2342 2343 2400 2401 2459 2636 2695 2754 2813 3424 3425 3482 3483 3540 3599 3657 3716 3775 3835 3894 3952 3953 4011 4564 4565 4622 4680 4738 4797 4856 4915 4974 5033 5092 5150 5151 5266 5704 5762 5819 5820 5878 5937 5996 6055 6114 6173 6231 6232 6290 6348 6406 6463 6635 6692 6749 6844 6959 7018 7135 7194 7253 7312 7371 7429 7430 7487 7488 7545 7546 7602 7603 7660 7717 7718 7774 7775 7831 7832 7888 7889 7946 8041 8099 8158 8216 8275 8334 8393 8452 8510 8511 8568 8569 8626 8627 8684 8685 8742 8743 8799 8800 8856 8857 8913 8914 8915 8970 8971 8972 9028 9029 9085 9086 9239 9297 9356 9415 9474 9532 9533 9591 9650 9708 9766 9823 9824 9881 9882 9938 9939 9995 9996 9997 10053 10054 10110 10111 10167 10168 10224 10225 10437 10496 10555 10613 10672 10731 10789 10847 10848 10905 10906 10963 10964 11020 11021 11077 11078 11134 11135 11136 11192 11193 11249 11250 11306 11307 11363 11364 11577 11636 11694 11753 11812 11870 11871 11928 11929 11986 11987 12044 12045 12102 12103 12159 12160 12217 12218 12274 12275 12331 12332 12388 12389 12445 12446 12502 12503 12717 12775 12834 12893 12951 13010 13068 13126 13127 13184 13241 13242 13299 13300 13356 13357 13413 13414 13470 13471 13527 13528 13584 13585 13641 13642 13915 13974 14032 14091 14149 14150 14207 14208 14265 14266 14323 14324 14381 14438 14439 14495 14496 14552 14553 14609 14610 14666 14667 14668 14724 14725 14781 14782 15055 15172 15231 15289 15347 15405 15463 15520 15521 15577 15578 15635 15692 15693 15749 15750 15806 15807 15863 15864 15920 15921 16253 16312 16370 16429 16487 16544 16545 16602 16603 16659 16660 16717 16774 16775 16831 16832 16888 16889 16945 16946 17002 17003 17059 17060 17393 17510 17568 17626 17684 17741 17742 17799 17856 17857 17913 17914 17970 17971 18027 18028 18085 18142 18199 18533 18591 18650 18708 18766 18823 18824 18881 18938 18939 18996 19053 19110 19167 19224 19281 19282 19338 19339 19731 19789 19847 19905 19963 20020 20021 20078 20135 20192 20193 20249 20250 20306 20307 20363 20364 20420 20421 20477 20478 20929 20987 21045 21102 21103 21160 21217 21274 21275 21332 21389 21446 21503 21560 21617 22127 22242 22300 22357 22414 22471 22528 22585 22642 22699 22756 22757 23036 23155 23214 23273 24176 24235 24294 24353 24413 24471 25316 25375 25434 25493 25552 25611 26632 26691 26750 26808 26809 26866 27536 27595 27654 27713 27772 27831 27889 27890 27947 27948 28005 28006 28063 28121 28178 28235 28292 28676 28735 28794 28853 28911 28912 28970 29028 29029 29087 29144 29145 29202 29203 29260 29261 29317 29318 29374 29375 29431 29432 29488 29489 29545 29546 29602 29603 29816 29875 29992 30051 30109 30110 30168 30226 30284 30341 30342 30399 30400 30456 30457 30513 30514 30570 30571 30627 30628 30684 30685 30741 30742 31014 31073 31132 31190 31191 31249 31307 31308 31365 31366 31423 31480 31481 31538 31539 31595 31596 31652 31653 31709 31710 31766 31767 31823 31824 31880 31881 32095 32154 32213 32271 32330 32388 32389 32446 32447 32504 32505 32562 32563 32619 32620 32677 32678 32734 32735 32791 32792 32848 32849 32905 32906 32962 32963 33019 33020 33235 33294 33411 33469 33470 33528 33586 33644 33701 33702 33759 33816 33817 33873 33874 33930 33931 33987 33988 34044 34045 34101 34102 34158 34159 34375 34492 34551 34609 34667 34668 34725 34726 34783 34840 34841 34898 34899 34955 34956 35012 35013 35069 35070 35126 35127 35183 35184 35240 35241 35297 35298 35456 35515 35573 35632 35690 35749 35807 35864 35865 35922 35923 35980 36037 36038 36094 36095 36151 36152 36208 36209 36265 36266 36322 36323 36324 36379 36380 36381 36436 36437 36438 36596 36654 36713 36772 36830 36888 36946 37004 37061 37062 37119 37120 37176 37177 37233 37234 37291 37348 37349 37405 37406 37462 37463 37519 37520 37576 37577 37736 37794 37853 37911 37970 38028 38086 38143 38144 38201 38202 38258 38259 38316 38373 38374 38430 38431 38487 38488 38544 38545 38601 38602 38658 38659 38715 38716 38934 38992 39051 39109 39167 39225 39283 39341 39398 39455 39456 39512 39513 39570 39627 39684 39741 39798 39855 40074 40132 40191 40249 40307 40365 40423 40480 40538 40595 40652 40709 40766 40823 40880 40937 40994 41272 41330 41389 41447 41562 41620 41677 41849 41906 41963 42020 42077 42134 42470 42702 42874 42931 43610 43668 43784 44633 
7,64 122 180 1147 1204 1261 1262 1320 1378 1437 2287 2344 2401 2459 2518 2577 2636 3484 3541 3599 3658 3717 3776 4681 4739 4916 5821 5879 5937 5996 6055 6114 7077 7136 7195 7254 8217 8276 8335 8394 9357 9415 9474 9533 10555 10614 10673 11695 11754 11813 12835 16313 22803 22861 22919 22978 23096 23943 24001 24059 25083 25140 25199 25257 25316 25375 25434 26223 26280 26338 26397 26456 26515 26574 27362 27420 27478 27537 27596 27655 27714 28502 28560 28618 28735 28794 28853 29642 29700 29758 29816 29875 29934 29993 30782 30839 30956 31015 31074 31133 31921 31979 32037 32096 32155 33061 33119 33177 33236 34201 34259 34317 34434 34493 35341 35457 35574 36714 37795 
8,65 123 181 239 1148 1205 1262 1320 1379 2287 2288 2345 2402 2460 2519 3427 3485 3542 3600 3658 3717 4567 4682 4740 4798 4857 5707 5938 5997 7078 7137 22804 22805 22862 22920 22978 23037 23944 24001 24002 24060 24118 24177 25084 25141 25199 25258 25317 26223 26224 26281 26339 26398 27363 27421 27479 28503 28561 28619 29643 
9,66 124 181 182 240 1149 1206 1263 1264 1321 1380 2288 2289 2346 2403 2461 3428 3485 3486 3543 3601 3659 4568 4625 4683 4741 4799 5708 5765 5823 5939 6848 6905 7079 8045 22805 22806 22863 22921 22979 23945 23946 24003 24060 24061 24119 25085 25142 25143 25200 25259 26225 26282 26340 27365 27422 27480 28562 28620 29702 
10,67 124 125 182 241 1149 1150 1207 1264 1265 1322 1380 2289 2290 2346 2347 2404 2462 2520 3429 3486 3487 3544 3601 3602 3660 4569 4626 4683 4684 4741 4800 5709 5766 5823 5881 6848 6906 6963 7021 7988 8103 8161 9128 9243 10268 11408 22806 22807 22864 22921 22980 23946 24003 24004 24061 24119 25086 25143 25201 25259 26226 26283 26341 26399 27366 27423 27481 27539 28505 28563 28679 29645 
