# Catalog for all galaxies that matched between 3DHST and FIGS within 1.2<z<1.8 for gs1. 
# figs_id redshift ra dec dn4000 dn4000_err d4000 d4000_err
556 1.466 53.122089 -27.754024 0.6637 0.0000 0.6942 0.0000
560 1.671 53.171383 -27.754078 0.0000 0.0000 0.0000 0.0000
562 1.251 53.173637 -27.754225 -2.5861 0.0000 -1.5172 0.0000
563 1.270 53.173618 -27.754396 1.4344 4.5978 1.0009 2.4422
584 1.681 53.178844 -27.754694 inf nan inf nan
596 1.532 53.185425 -27.755073 1.7035 0.0000 1.7085 0.0000
627 1.246 53.171631 -27.755495 2.7853 0.0000 3.0358 0.0000
647 1.386 53.145008 -27.755796 0.7218 0.0000 1.6752 0.0000
660 1.491 53.153107 -27.756208 0.0300 11.0416 2.2113 10.9599
667 1.661 53.138122 -27.756323 inf nan inf nan
671 1.229 53.208069 -27.756449 nan nan nan nan
681 1.254 53.187416 -27.756677 0.9787 3.4786 1.0292 2.5564
693 1.256 53.123535 -27.756864 1.2250 10.3502 0.8741 3.1309
696 1.282 53.199840 -27.756836 2.5410 15.1391 1.2890 4.0617
700 1.692 53.135124 -27.756931 0.4877 0.0000 1.1137 0.0000
727 1.235 53.189800 -27.757522 0.4486 0.0000 1.9823 0.0000
746 1.415 53.175628 -27.757923 0.0664 0.0000 4.0767 174.2277
750 1.221 53.124908 -27.758297 0.9380 0.2254 1.7416 0.3895
762 1.376 53.191467 -27.758520 8.6756 0.0000 2.3832 0.0000
773 1.622 53.204155 -27.758673 0.7362 0.8895 1.0003 1.0566
774 1.754 53.165718 -27.758667 nan nan nan nan
782 1.506 53.177971 -27.758884 -0.5116 8.2890 0.1042 0.4710
802 1.439 53.160579 -27.759401 1.7630 21.3170 -16.2521 1201.7771
813 1.519 53.210094 -27.759527 1.9791 18.7429 1.0244 4.2291
837 1.611 53.206215 -27.760210 -3.5181 73.9560 0.0168 9.6726
846 1.705 53.133434 -27.760307 0.9894 0.0000 1.5754 0.0000
848 1.425 53.152405 -27.760324 -0.7648 1.0381 -0.0288 0.0635
854 1.476 53.172260 -27.760618 1.2901 8.5636 1.5624 5.9180
857 1.583 53.187355 -27.760465 4.1344 632.3166 -5.0701 130.1162
862 1.657 53.128303 -27.760620 1.0635 0.2369 1.0877 0.2486
868 1.437 53.155124 -27.760647 1.1923 43.9668 -0.5754 22.0865
879 1.360 53.128700 -27.760891 0.7548 4.1497 1.2476 8.2257
913 1.278 53.158821 -27.761795 0.8324 2.8541 0.7549 2.5459
926 1.339 53.159702 -27.762277 0.2971 5.6775 -1.2182 9.7547
937 1.561 53.130562 -27.762399 3.3545 118.3211 -1.6818 38.6152
939 1.592 53.155147 -27.762359 1.0079 5.6717 1.8451 6.6638
941 1.644 53.193268 -27.762459 1.0092 0.9067 1.1212 0.7283
944 1.575 53.119167 -27.762546 1.0419 0.5163 1.1760 0.4140
959 1.470 53.165321 -27.762981 -0.2675 7.4357 0.5959 4.9341
963 1.322 53.119041 -27.763040 1.1419 6.8507 1.0359 4.1837
972 1.415 53.118603 -27.763223 3.6870 5.0230 0.8673 0.9460
976 1.601 53.133629 -27.763279 -0.4199 3.6478 0.0556 4.1393
977 1.692 53.156227 -27.763269 -0.1070 21.6910 -0.8289 20.6494
988 1.765 53.196842 -27.763618 1.6426 4.6125 0.6220 1.9442
1002 1.492 53.133720 -27.763817 7.9883 515.8998 1.1790 7.2389
