#   PearsID  Field  RA  DEC  zspec  zp_minchi2  zspz_minchi2  zg_minchi2  zp  zspz  zg  zp_zerr_low  zp_zerr_up  zspz_zerr_low  zspz_zerr_up  zg_zerr_low  zg_zerr_up  zp_min_chi2  zspz_min_chi2  zg_min_chi2  zp_bestalpha  zspz_bestalpha  zg_bestalpha  zp_model_idx  zspz_model_idx  zg_model_idx  zp_age  zp_tau  zp_av  zspz_age  zspz_tau  zspz_av  zg_age  zg_tau  zg_av  zp_template_ms  zp_ms  zp_sfr  zp_uv  zp_vj  zspz_template_ms  zspz_ms  zspz_sfr  zspz_uv  zspz_vj  zg_template_ms  zg_ms  zg_sfr  zg_uv  zg_vj
71979 GOODS-S 53.1323744 -27.809055 -99.0000 3.09 -99.00 -99.00 3.07 -99.00 -99.00 2.91 3.19 -99.00 -99.00 -99.00 -99.00 0.61 -99.00 -99.00 1.430e+10 -9.900e+01 -9.900e+01 13705 -99 -99 8.360e+00 6.300e-02 0.92 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6705 9.604e+09 0.000e+00 -0.0160 1.1549 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
47213 GOODS-S 53.1421316 -27.853180 -99.0000 0.18 -99.00 -99.00 0.22 -99.00 -99.00 0.15 0.20 -99.00 -99.00 -99.00 -99.00 6.66 -99.00 -99.00 1.820e+08 -9.900e+01 -9.900e+01 2542 -99 -99 9.480e+00 3.980e+00 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.2945 5.356e+07 0.000e+00 0.0959 1.4106 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
21196 GOODS-S 53.1413632 -27.904972 -99.0000 1.01 -99.00 -99.00 0.94 -99.00 -99.00 0.97 1.06 -99.00 -99.00 -99.00 -99.00 4.54 -99.00 -99.00 1.900e+08 -9.900e+01 -9.900e+01 162 -99 -99 7.740e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7540 1.432e+08 0.000e+00 -0.3471 0.7910 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
67455 GOODS-N 189.1475530 62.233641 -99.0000 2.21 -99.00 -99.00 1.87 -99.00 -99.00 2.10 2.28 -99.00 -99.00 -99.00 -99.00 1.04 -99.00 -99.00 9.670e+08 -9.900e+01 -9.900e+01 280 -99 -99 7.630e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7705 7.452e+08 0.000e+00 -0.2935 1.0262 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
114872 GOODS-N 189.4380775 62.318499 -99.0000 2.27 -99.00 -99.00 2.29 -99.00 -99.00 2.07 2.44 -99.00 -99.00 -99.00 -99.00 3.81 -99.00 -99.00 9.890e+09 -9.900e+01 -9.900e+01 35689 -99 -99 7.400e+00 3.980e-02 2.58 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.4017 3.974e+09 0.000e+00 -0.2149 1.7798 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
121150 GOODS-S 53.0712567 -27.713341 -99.0000 0.42 -99.00 -99.00 0.27 -99.00 -99.00 0.29 0.51 -99.00 -99.00 -99.00 -99.00 0.56 -99.00 -99.00 3.730e+08 -9.900e+01 -9.900e+01 2047 -99 -99 9.400e+00 6.310e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5281 1.972e+08 0.000e+00 0.6594 1.7084 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
30931 GOODS-S 53.1337249 -27.885608 -99.0000 0.65 -99.00 -99.00 0.79 -99.00 -99.00 0.57 0.74 -99.00 -99.00 -99.00 -99.00 1.09 -99.00 -99.00 9.620e+08 -9.900e+01 -9.900e+01 12106 -99 -99 8.360e+00 1.580e+00 0.74 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0966 9.289e+07 0.000e+00 -0.3049 1.1639 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
58441 GOODS-S 53.1469147 -27.835331 -99.0000 0.49 -99.00 -99.00 0.49 -99.00 -99.00 0.43 0.56 -99.00 -99.00 -99.00 -99.00 0.54 -99.00 -99.00 7.580e+08 -9.900e+01 -9.900e+01 9667 -99 -99 9.280e+00 1.580e+00 0.55 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.4076 3.088e+08 0.000e+00 0.2395 1.4547 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
57014 GOODS-S 53.1845635 -27.836041 1.0380 1.01 -99.00 -99.00 1.01 -99.00 -99.00 1.01 1.02 -99.00 -99.00 -99.00 -99.00 4.79 -99.00 -99.00 4.820e+10 -9.900e+01 -9.900e+01 9302 -99 -99 9.360e+00 3.980e-01 0.55 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5341 2.572e+10 0.000e+00 0.9606 1.8755 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
17430 GOODS-S 53.2141887 -27.905406 0.2570 0.23 -99.00 -99.00 0.23 -99.00 -99.00 0.23 0.23 -99.00 -99.00 -99.00 -99.00 977.81 -99.00 -99.00 6.100e+10 -9.900e+01 -9.900e+01 16946 -99 -99 9.800e+00 1.000e+00 1.10 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.4638 2.830e+10 0.000e+00 1.3759 2.2269 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
