#   PearsID  Field  RA  DEC  zspec  zp_minchi2  zspz_minchi2  zg_minchi2  zp  zspz  zg  zp_zerr_low  zp_zerr_up  zspz_zerr_low  zspz_zerr_up  zg_zerr_low  zg_zerr_up  zp_min_chi2  zspz_min_chi2  zg_min_chi2  zp_bestalpha  zspz_bestalpha  zg_bestalpha  zp_model_idx  zspz_model_idx  zg_model_idx  zp_age  zp_tau  zp_av  zspz_age  zspz_tau  zspz_av  zg_age  zg_tau  zg_av  zp_template_ms  zp_ms  zp_uv  zp_vj
47213 GOODS-S 53.1421320 -27.853180 -99.0000 0.45 -99.00 -99.00 0.29 -99.00 -99.00 0.42 0.46 -99.00 -99.00 -99.00 -99.00 8.02 -99.00 -99.00 4.130e+08 -9.900e+01 -9.900e+01 20586 -99 -99 8.010e+00 1.000e-02 1.47 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.8276 3.422e+08 -0.4410 1.1804
57014 GOODS-S 53.1845640 -27.836041 1.0380 1.02 -99.00 -99.00 1.04 -99.00 -99.00 1.01 1.05 -99.00 -99.00 -99.00 -99.00 4.36 -99.00 -99.00 6.640e+10 -9.900e+01 -9.900e+01 1924 -99 -99 9.400e+00 3.980e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6956 4.616e+10 -0.4519 1.8484
17430 GOODS-S 53.2141890 -27.905406 0.2570 0.24 -99.00 -99.00 0.24 -99.00 -99.00 0.24 0.24 -99.00 -99.00 -99.00 -99.00 875.21 -99.00 -99.00 4.470e+10 -9.900e+01 -9.900e+01 692 -99 -99 9.360e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6777 3.027e+10 -0.3609 2.2371
37538 GOODS-N 189.2584870 62.189703 0.1360 2.09 -99.00 -99.00 2.09 -99.00 -99.00 2.09 2.09 -99.00 -99.00 -99.00 -99.00 237.33 -99.00 -99.00 2.390e+15 -9.900e+01 -9.900e+01 22878 -99 -99 7.020e+00 6.310e+01 1.47 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0002 3.808e+11 -0.7568 1.2260
19435 GOODS-S 53.1429840 -27.909361 -99.0000 0.63 -99.00 -99.00 0.64 -99.00 -99.00 0.56 0.68 -99.00 -99.00 -99.00 -99.00 2.66 -99.00 -99.00 7.440e+09 -9.900e+01 -9.900e+01 19746 -99 -99 9.060e+00 3.980e+00 1.29 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.1897 1.412e+09 -0.4485 1.4027
125478 GOODS-S 53.1006970 -27.703050 -99.0000 5.07 -99.00 -99.00 5.07 -99.00 -99.00 5.07 5.07 -99.00 -99.00 -99.00 -99.00 97.95 -99.00 -99.00 1.040e+13 -9.900e+01 -9.900e+01 668 -99 -99 8.410e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7723 8.036e+12 -0.1817 1.2818
132104 GOODS-S 53.0610490 -27.688081 0.8180 0.80 -99.00 -99.00 0.77 -99.00 -99.00 0.74 0.82 -99.00 -99.00 -99.00 -99.00 2.69 -99.00 -99.00 1.340e+10 -9.900e+01 -9.900e+01 2168 -99 -99 9.360e+00 1.000e+00 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6449 8.663e+09 -0.5208 1.5344
14663 GOODS-S 53.1939540 -27.918887 1.0890 0.99 -99.00 -99.00 0.97 -99.00 -99.00 0.93 1.02 -99.00 -99.00 -99.00 -99.00 15.62 -99.00 -99.00 2.570e+10 -9.900e+01 -9.900e+01 2425 -99 -99 9.650e+00 2.510e+00 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5738 1.475e+10 -0.5561 1.6597
101264 GOODS-N 189.3238740 62.295329 -99.0000 0.52 -99.00 -99.00 0.50 -99.00 -99.00 0.43 0.53 -99.00 -99.00 -99.00 -99.00 1.97 -99.00 -99.00 8.870e+08 -9.900e+01 -9.900e+01 32887 -99 -99 8.060e+00 1.000e-02 2.39 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.8220 7.288e+08 -0.4221 1.3011
125493 GOODS-S 53.0344730 -27.703264 -99.0000 1.55 -99.00 -99.00 1.51 -99.00 -99.00 1.46 1.59 -99.00 -99.00 -99.00 -99.00 5.52 -99.00 -99.00 7.790e+10 -9.900e+01 -9.900e+01 4501 -99 -99 9.280e+00 6.310e-01 0.18 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6863 5.347e+10 -0.4819 1.5733
