#PearsID, Field, RA, DEC, zspec, zp_minchi2, zspz_minchi2, zg_minchi2, zp, zspz, zg, zp_zerr_low, zp_zerr_up, zspz_zerr_low, zspz_zerr_up, zg_zerr_low, zg_zerr_up, zp_min_chi2, zspz_min_chi2, zg_min_chi2, zp_bestalpha, zspz_bestalpha, zg_bestalpha, zp_model_idx, zspz_model_idx, zg_model_idx, zp_age, zp_tau, zp_av, zspz_age, zspz_tau, zspz_av, zg_age, zg_tau, zg_av, zp_template_ms, zp_ms, zp_sfr, zp_uv, zp_vj, zspz_template_ms, zspz_ms, zspz_sfr, zspz_uv, zspz_vj, zg_template_ms, zg_ms, zg_sfr, zg_uv, zg_vj
125478, 'GOODS-S', 53.1006969, -27.70305, -99., 1.47, -99., -99., nan, -99., -99., 1.47, 1.47, -99., -99., -99., -99., 21655.8, -99., -99., 1.74e+11, -99., -99., 435, -99, -99, 9.06, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.5354, 9.307e+10, 0., 0.3401, 0.9801, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
125493, 'GOODS-S', 53.0344732, -27.703264, -99., 1.54, -99., -99., 1.56, -99., -99., 1.52, 1.68, -99., -99., -99., -99., 9.19, -99., -99., 7.07e+10, -99., -99., 7091, -99, -99, 9.41, 1., 0.37, -99., -99., -99., -99., -99., -99., 0.5057, 3.577e+10, 0., 0.4979, 1.6551, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
96453, 'GOODS-N', 189.4085402, 62.288058, -99., 1.01, -99., -99., nan, -99., -99., 1.01, 1.01, -99., -99., -99., -99., 35843.6, -99., -99., 2.99e+11, -99., -99., 435, -99, -99, 9.06, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.5354, 1.601e+11, 0., 0.3401, 0.9801, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
89573, 'GOODS-N', 189.2496182, 62.274447, -99., 0.95, -99., -99., 1.01, -99., -99., 0.95, 0.95, -99., -99., -99., -99., 60.78, -99., -99., 2.32e+11, -99., -99., 828, -99, -99, 9.7, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.3808, 8.85e+10, 0., 1.7535, 2.832, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
109151, 'GOODS-S', 53.1409173, -27.736119, 0.667, 0.66, -99., -99., 0.66, -99., -99., 0.66, 0.66, -99., -99., -99., -99., 23.53, -99., -99., 1.03e+11, -99., -99., 19399, -99, -99, 9.65, 1., 1.29, -99., -99., -99., -99., -99., -99., 0.4896, 5.035e+10, 0., 1.1272, 2.1305, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
56663, 'GOODS-N', 189.1857923, 62.217938, -99., 0.53, -99., -99., 0.52, -99., -99., 0.53, 0.53, -99., -99., -99., -99., 188.4, -99., -99., 1.1e+11, -99., -99., 37001, -99, -99, 9.89, 3.98, 2.58, -99., -99., -99., -99., -99., -99., 0.409, 4.516e+10, 0., 0.9586, 2.1958, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
32497, 'GOODS-N', 189.1665811, 62.174797, -99., 0.98, -99., -99., 0.98, -99., -99., 0.98, 0.98, -99., -99., -99., -99., 76.09, -99., -99., 1.91e+11, -99., -99., 36738, -99, -99, 9.54, 1.58, 2.58, -99., -99., -99., -99., -99., -99., 0.4715, 8.983e+10, 0., 0.8591, 2.0722, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
36418, 'GOODS-N', 189.1941824, 62.180293, 0.94, 0.94, -99., -99., 1.08, -99., -99., 0.94, 1.1, -99., -99., -99., -99., 125.18, -99., -99., 1.76e+11, -99., -99., 831, -99, -99, 9.76, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.3721, 6.553e+10, 0., 1.2556, 2.6144, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
104850, 'GOODS-S', 53.1249568, -27.734674, 0.076, 4.32, -99., -99., nan, -99., -99., 4.32, 4.32, -99., -99., -99., -99., 4383310.39, -99., -99., 8.42e+12, -99., -99., 764, -99, -99, 7.52, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.6889, 5.8e+12, 0., -0.5941, 1.8838, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
121420, 'GOODS-S', 53.1163993, -27.712705, 1.613, 1.51, -99., -99., 1.53, -99., -99., 1.51, 1.55, -99., -99., -99., -99., 4.29, -99., -99., 1.46e+11, -99., -99., 4388, -99, -99, 9.51, 0.398, 0.18, -99., -99., -99., -99., -99., -99., 0.5065, 7.409e+10, 0., 1.176, 2.0104, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
