# lam flam flam_err
3000.00 nan nan
3025.00 nan nan
3050.00 nan nan
3075.00 0.920864 0.050106
3100.00 0.938384 0.053646
3125.00 0.964098 0.045927
3150.00 0.985087 0.037961
3175.00 0.974178 0.028069
3200.00 1.030873 0.027569
3225.00 0.984418 0.026996
3250.00 1.010872 0.025589
3275.00 1.018012 0.022110
3300.00 1.008236 0.018657
3325.00 1.003792 0.017242
3350.00 1.023497 0.017749
3375.00 1.015747 0.016620
3400.00 1.020509 0.015269
3425.00 1.011132 0.014663
3450.00 1.009241 0.014514
3475.00 0.998717 0.013502
3500.00 1.002702 0.018163
3525.00 1.001981 0.012255
3550.00 1.012683 0.010790
3575.00 1.005968 0.010602
3600.00 1.005029 0.009639
3625.00 0.993366 0.009241
3650.00 0.995676 0.008592
3675.00 0.993110 0.008463
3700.00 0.982592 0.008142
3725.00 0.984930 0.007635
3750.00 0.978097 0.007796
3775.00 0.974169 0.007307
3800.00 0.970374 0.007222
3825.00 0.957993 0.006888
3850.00 0.963357 0.006718
3875.00 0.955172 0.006358
3900.00 0.946500 0.007344
3925.00 0.956070 0.007003
3950.00 0.968949 0.006409
3975.00 0.977059 0.006330
4000.00 0.994242 0.004766
4025.00 0.998599 0.006074
4050.00 1.002717 0.006047
4075.00 0.997737 0.005931
4100.00 0.992312 0.005861
4125.00 0.991665 0.005631
4150.00 0.986411 0.005668
4175.00 0.977571 0.005806
4200.00 0.977778 0.005810
4225.00 0.978285 0.005487
4250.00 0.981149 0.005559
4275.00 0.975339 0.005336
4300.00 0.972424 0.005353
4325.00 0.969647 0.005312
4350.00 0.974264 0.005243
4375.00 0.976768 0.005517
4400.00 0.983146 0.005494
4425.00 0.991235 0.005501
4450.00 0.998698 0.005447
4475.00 0.998113 0.005510
4500.00 1.000060 0.005416
4525.00 1.000964 0.005520
4550.00 1.002819 0.005620
4575.00 1.000959 0.005373
4600.00 1.002142 0.005500
4625.00 1.002150 0.005697
4650.00 0.999191 0.005698
4675.00 0.997726 0.005333
4700.00 0.997839 0.005810
4725.00 0.997608 0.005804
4750.00 0.996420 0.005966
4775.00 0.995419 0.006236
4800.00 0.993549 0.006260
4825.00 0.988780 0.006147
4850.00 0.984114 0.006356
4875.00 0.980444 0.006663
4900.00 0.980283 0.006835
4925.00 0.977363 0.006782
4950.00 0.979171 0.007045
4975.00 0.977176 0.006353
5000.00 0.974502 0.006114
5025.00 0.966217 0.006559
5050.00 0.964199 0.006659
5075.00 0.959099 0.006598
5100.00 0.959152 0.006644
5125.00 0.957429 0.007049
5150.00 0.956020 0.006440
5175.00 0.952808 0.006942
5200.00 0.953495 0.006805
5225.00 0.954241 0.006423
5250.00 0.958363 0.006670
5275.00 0.961125 0.006845
5300.00 0.967537 0.006795
5325.00 0.969064 0.006715
5350.00 0.974185 0.007192
5375.00 0.977226 0.007579
5400.00 0.980592 0.007561
5425.00 0.980843 0.007417
5450.00 0.983593 0.007766
5475.00 0.983243 0.007745
5500.00 0.985953 0.007911
5525.00 0.987832 0.007821
5550.00 0.983322 0.008609
5575.00 0.985565 0.008086
5600.00 0.985952 0.008896
5625.00 0.985788 0.008672
5650.00 0.985801 0.008938
5675.00 0.990929 0.009838
5700.00 0.992222 0.009303
5725.00 0.989683 0.009292
5750.00 0.991522 0.011461
5775.00 0.988393 0.011260
5800.00 0.989691 0.010089
5825.00 0.990227 0.011619
5850.00 0.986190 0.010748
5875.00 0.986278 0.010853
5900.00 0.980939 0.010325
5925.00 0.977631 0.010787
5950.00 0.977021 0.010654
5975.00 0.976569 0.010586
6000.00 0.976412 0.017516
6025.00 0.980737 0.010806
6050.00 0.979110 0.010946
6075.00 0.977041 0.011877
6100.00 0.973669 0.011678
6125.00 0.973455 0.012009
6150.00 0.971102 0.012460
6175.00 0.966941 0.013377
6200.00 0.965262 0.012114
6225.00 0.968677 0.013904
6250.00 0.962737 0.012577
6275.00 0.961774 0.012179
6300.00 0.965771 0.012701
6325.00 0.984169 0.014295
6350.00 0.981841 0.013475
6375.00 0.976527 0.014618
6400.00 0.986687 0.016543
6425.00 0.989808 0.015345
6450.00 0.991021 0.023584
6475.00 0.985700 0.016765
6500.00 0.982999 0.018710
6525.00 0.983352 0.017318
6550.00 0.979896 0.019460
6575.00 0.981341 0.017597
6600.00 0.989361 0.018846
6625.00 0.984479 0.021198
6650.00 0.989600 0.018392
6675.00 0.986060 0.023948
6700.00 0.993014 0.018879
6725.00 0.979682 0.027216
6750.00 0.993615 0.025461
6775.00 0.974326 0.027569
6800.00 0.994070 0.025719
6825.00 0.986089 0.027790
6850.00 0.997367 0.026589
6875.00 0.996933 0.036138
6900.00 0.998844 0.028093
6925.00 1.001024 0.036316
6950.00 1.003904 0.028944
6975.00 0.999870 0.029640
7000.00 0.997761 0.034518
7025.00 0.987606 0.030827
7050.00 0.972459 0.034583
7075.00 0.954366 0.060541
7100.00 0.973865 0.035305
7125.00 nan nan
7150.00 0.953085 0.061578
7175.00 0.954109 0.062285
7200.00 0.957504 0.063205
7225.00 0.959459 0.064081
7250.00 nan nan
7275.00 0.959745 0.064852
7300.00 0.966570 0.066056
7325.00 0.975998 0.067599
7350.00 0.987362 0.069384
7375.00 nan nan
7400.00 0.998762 0.071306
7425.00 1.007874 0.073920
7450.00 nan nan
7475.00 nan nan
7500.00 nan nan
7525.00 nan nan
7550.00 nan nan
7575.00 nan nan
