# lam flam flam_err
3000.00 nan nan
3025.00 nan nan
3050.00 nan nan
3075.00 0.926329 0.050163
3100.00 0.938384 0.053811
3125.00 0.973907 0.044477
3150.00 0.989867 0.036287
3175.00 0.973457 0.028081
3200.00 0.999581 0.027497
3225.00 0.996770 0.027329
3250.00 1.010200 0.025706
3275.00 1.015538 0.021732
3300.00 1.008078 0.018313
3325.00 0.995584 0.017500
3350.00 1.021869 0.017529
3375.00 1.012844 0.016462
3400.00 1.016138 0.014955
3425.00 1.011324 0.014402
3450.00 1.004771 0.014669
3475.00 1.000616 0.013165
3500.00 1.003152 0.017948
3525.00 1.000233 0.012018
3550.00 1.008462 0.010521
3575.00 1.003684 0.010506
3600.00 1.003686 0.009533
3625.00 0.993643 0.009214
3650.00 0.999545 0.008671
3675.00 0.996892 0.008520
3700.00 0.982399 0.008199
3725.00 0.981825 0.007689
3750.00 0.979075 0.007735
3775.00 0.973204 0.007292
3800.00 0.972259 0.007180
3825.00 0.959062 0.006896
3850.00 0.967814 0.006715
3875.00 0.955605 0.006358
3900.00 0.951084 0.007333
3925.00 0.958205 0.007026
3950.00 0.965975 0.006365
3975.00 0.977059 0.006256
4000.00 0.993124 0.004728
4025.00 0.996618 0.006051
4050.00 0.997010 0.005916
4075.00 0.994716 0.005891
4100.00 0.991954 0.005829
4125.00 0.992543 0.005555
4150.00 0.987307 0.005562
4175.00 0.981556 0.005647
4200.00 0.980171 0.005723
4225.00 0.981228 0.005436
4250.00 0.981534 0.005500
4275.00 0.977069 0.005274
4300.00 0.972850 0.005274
4325.00 0.969647 0.005231
4350.00 0.975473 0.005171
4375.00 0.979376 0.005476
4400.00 0.983896 0.005395
4425.00 0.991549 0.005403
4450.00 0.999113 0.005361
4475.00 0.998148 0.005481
4500.00 1.000395 0.005345
4525.00 1.001781 0.005448
4550.00 1.003040 0.005536
4575.00 1.001126 0.005417
4600.00 1.002057 0.005479
4625.00 1.002063 0.005640
4650.00 0.999246 0.005685
4675.00 0.998069 0.005251
4700.00 0.997658 0.005591
4725.00 0.997831 0.005792
4750.00 0.997496 0.005974
4775.00 0.996297 0.006205
4800.00 0.993593 0.006255
4825.00 0.989365 0.005993
4850.00 0.985100 0.006234
4875.00 0.981166 0.006609
4900.00 0.980751 0.006767
4925.00 0.977665 0.006558
4950.00 0.979904 0.007770
4975.00 0.979900 0.006454
5000.00 0.975911 0.006118
5025.00 0.967387 0.006551
5050.00 0.964437 0.006555
5075.00 0.959498 0.006532
5100.00 0.959744 0.006550
5125.00 0.957942 0.006991
5150.00 0.956150 0.006390
5175.00 0.956364 0.006862
5200.00 0.956190 0.006740
5225.00 0.956106 0.006386
5250.00 0.962293 0.006637
5275.00 0.961534 0.006810
5300.00 0.968821 0.006804
5325.00 0.969529 0.006685
5350.00 0.976840 0.007169
5375.00 0.977410 0.007378
5400.00 0.980813 0.007522
5425.00 0.980885 0.007352
5450.00 0.983772 0.007596
5475.00 0.984487 0.007670
5500.00 0.985731 0.007789
5525.00 0.987832 0.007763
5550.00 0.984581 0.008736
5575.00 0.985943 0.008159
5600.00 0.985974 0.008947
5625.00 0.985670 0.008569
5650.00 0.985887 0.008847
5675.00 0.990625 0.009775
5700.00 0.992222 0.009213
5725.00 0.990077 0.009434
5750.00 0.991522 0.010501
5775.00 0.988014 0.011439
5800.00 0.989691 0.010293
5825.00 0.990227 0.011619
5850.00 0.986190 0.010748
5875.00 0.986278 0.010853
5900.00 0.980939 0.010330
5925.00 0.977631 0.010787
5950.00 0.976809 0.010402
5975.00 0.976569 0.010594
6000.00 0.976412 0.017516
6025.00 0.980737 0.010814
6050.00 0.979110 0.010953
6075.00 0.977041 0.011877
6100.00 0.973669 0.011678
6125.00 0.973455 0.012009
6150.00 0.971102 0.012460
6175.00 0.966941 0.013388
6200.00 0.965262 0.012121
6225.00 0.968677 0.013914
6250.00 0.962737 0.012580
6275.00 0.961774 0.012179
6300.00 0.966107 0.013109
6325.00 0.984169 0.014295
6350.00 0.981841 0.013463
6375.00 0.975216 0.014594
6400.00 0.974738 0.016498
6425.00 0.991587 0.015971
6450.00 0.991021 0.023584
6475.00 0.985700 0.016765
6500.00 0.982999 0.018710
6525.00 0.983352 0.017318
6550.00 0.979896 0.019460
6575.00 0.981341 0.017597
6600.00 0.989361 0.018846
6625.00 0.984479 0.021198
6650.00 0.989600 0.018392
6675.00 0.986060 0.023948
6700.00 0.993014 0.018879
6725.00 0.979682 0.027216
6750.00 0.993615 0.025461
6775.00 0.974326 0.027569
6800.00 0.994070 0.025719
6825.00 0.986089 0.027790
6850.00 0.997367 0.026589
6875.00 0.996933 0.036138
6900.00 0.998844 0.028093
6925.00 1.001024 0.036316
6950.00 1.003904 0.028944
6975.00 0.999870 0.029640
7000.00 0.997761 0.034518
7025.00 0.987606 0.030827
7050.00 0.972459 0.034583
7075.00 0.954366 0.060541
7100.00 0.973865 0.035305
7125.00 nan nan
7150.00 0.953085 0.061578
7175.00 0.954109 0.062285
7200.00 0.957504 0.063205
7225.00 0.959459 0.064081
7250.00 nan nan
7275.00 0.959745 0.064852
7300.00 0.966570 0.066056
7325.00 0.975998 0.067599
7350.00 0.987362 0.069384
7375.00 nan nan
7400.00 0.998762 0.071306
7425.00 1.007874 0.073920
7450.00 nan nan
7475.00 nan nan
7500.00 nan nan
7525.00 nan nan
7550.00 nan nan
7575.00 nan nan
