# The PEARS id is given here as only an integer.
# The user must figure out if it is part of northern or southern fields.
# pearsid field pearsra pearsdec urcol mstar threedid threedzphot
34427 GOODS-N 189.184999 62.176939 1.09 9.56 6884 0.89
33944 GOODS-N 189.161050 62.175999 0.93 8.61 6926 0.70
34773 GOODS-N 189.188291 62.177028 1.14 9.45 7075 1.28
35090 GOODS-N 189.200371 62.177168 0.80 8.58 7169 0.68
35700 GOODS-N 189.184548 62.178008 1.13 8.38 7269 0.75
35156 GOODS-N 189.199465 62.179304 1.78 10.83 7312 1.20
35309 GOODS-N 189.197793 62.178752 1.57 10.14 7344 1.19
36830 GOODS-N 189.172438 62.179802 1.04 8.44 7548 0.85
36342 GOODS-N 189.215269 62.179534 0.94 9.39 7572 1.24
37116 GOODS-N 189.188264 62.180167 0.99 7.81 7614 0.62
37285 GOODS-N 189.204438 62.180293 1.23 8.36 7645 0.77
36739 GOODS-N 189.213856 62.180309 1.63 9.56 7688 1.19
37044 GOODS-N 189.213646 62.181028 2.14 10.69 7701 1.23
36569 GOODS-N 189.202385 62.180277 0.96 9.39 7756 0.94
36989 GOODS-N 189.169769 62.180284 1.97 10.00 7759 0.86
37541 GOODS-N 189.193364 62.180941 0.78 7.75 7775 0.61
36639 GOODS-N 189.172688 62.180919 1.58 10.02 7846 0.88
37670 GOODS-N 189.204541 62.181352 1.03 8.48 7880 0.92
36842 GOODS-N 189.185144 62.181358 0.83 9.17 7892 0.91
37842 GOODS-N 189.213848 62.181794 1.83 8.66 7918 0.66
38146 GOODS-N 189.204973 62.181933 0.71 8.29 7929 1.02
37908 GOODS-N 189.214104 62.181813 0.78 8.60 7943 1.09
37644 GOODS-N 189.203819 62.181588 0.97 9.09 7978 0.93
36944 GOODS-N 189.170378 62.181871 1.06 9.62 8024 0.84
38345 GOODS-N 189.164375 62.182363 0.85 8.99 8045 1.13
38344 GOODS-N 189.194814 62.182501 1.20 9.08 8068 0.97
36105 GOODS-N 189.191488 62.183611 2.28 10.83 8114 0.91
37982 GOODS-N 189.192270 62.183849 2.09 10.31 8122 0.90
37225 GOODS-N 189.208158 62.182990 1.20 9.34 8136 0.66
38812 GOODS-N 189.202708 62.183166 0.68 7.96 8177 0.65
38392 GOODS-N 189.207608 62.182924 1.04 8.64 8188 0.80
38120 GOODS-N 189.208629 62.183685 1.40 9.66 8382 0.93
39394 GOODS-N 189.169764 62.184124 1.07 8.22 8395 0.82
38445 GOODS-N 189.200563 62.183952 1.60 9.59 8444 0.56
40010 GOODS-N 189.183524 62.184991 1.44 8.92 8550 0.83
39311 GOODS-N 189.208590 62.185116 1.05 8.63 8700 0.65
39842 GOODS-N 189.183181 62.185293 0.77 9.12 8706 0.88
40004 GOODS-N 189.191965 62.185513 2.20 9.89 8743 0.91
39487 GOODS-N 189.207262 62.185225 0.84 9.43 8752 0.96
39987 GOODS-N 189.180572 62.185747 1.92 9.07 8785 0.61
39728 GOODS-N 189.170018 62.185821 1.35 9.27 8859 0.77
39455 GOODS-N 189.160724 62.186535 1.79 10.06 8982 0.93
40790 GOODS-N 189.213277 62.186830 2.27 9.67 8986 0.59
41018 GOODS-N 189.184953 62.187049 1.01 9.03 8996 1.01
41031 GOODS-N 189.159718 62.187026 1.52 9.59 9035 0.83
41172 GOODS-N 189.172983 62.187424 0.69 8.18 9051 0.65
41342 GOODS-N 189.159442 62.187693 1.13 9.59 9213 0.92
41064 GOODS-N 189.187316 62.187679 1.09 8.98 9216 0.79
41499 GOODS-N 189.213134 62.188142 0.98 8.87 9264 0.83
42132 GOODS-N 189.162139 62.188686 0.32 8.62 9294 1.06
41931 GOODS-N 189.190468 62.188402 1.97 9.53 9297 1.03
41546 GOODS-N 189.187850 62.188138 1.22 9.26 9301 1.15
42058 GOODS-N 189.162568 62.188638 0.46 8.64 9314 0.94
42245 GOODS-N 189.180190 62.188814 0.55 8.27 9342 0.91
41540 GOODS-N 189.162210 62.188314 1.00 9.43 9350 0.92
41932 GOODS-N 189.161034 62.188897 0.84 8.81 9356 0.94
41630 GOODS-N 189.198719 62.188955 1.42 10.38 9440 1.18
42014 GOODS-N 189.177334 62.189407 0.99 9.56 9513 0.87
42526 GOODS-N 189.193098 62.189706 0.66 8.63 9520 0.75
41388 GOODS-N 189.171411 62.190279 2.10 10.57 9582 0.99
42430 GOODS-N 189.161688 62.189869 1.01 9.52 9595 0.98
40991 GOODS-N 189.184961 62.192549 2.39 11.42 9623 0.99
43220 GOODS-N 189.176243 62.190600 0.98 8.06 9631 0.57
43079 GOODS-N 189.182511 62.190484 0.82 8.59 9639 0.91
41913 GOODS-N 189.172400 62.191558 1.76 10.71 9766 1.10
44207 GOODS-N 189.195678 62.192413 0.76 8.43 9997 0.70
44367 GOODS-N 189.159582 62.192647 0.83 8.68 10076 0.98
44060 GOODS-N 189.204694 62.192348 1.83 9.35 10117 0.99
43713 GOODS-N 189.209480 62.193096 2.24 10.43 10179 1.31
44678 GOODS-N 189.180357 62.193168 1.30 8.87 10199 1.04
44001 GOODS-N 189.186480 62.192633 2.44 10.20 10211 0.88
43618 GOODS-N 189.182566 62.195238 2.18 10.91 10224 0.74
44562 GOODS-N 189.192422 62.195027 1.83 11.17 10280 1.11
44835 GOODS-N 189.178870 62.193691 0.65 8.76 10286 1.09
45163 GOODS-N 189.191554 62.193884 0.61 7.93 10291 0.89
44021 GOODS-N 189.176269 62.192984 1.18 8.97 10316 0.76
44078 GOODS-N 189.202683 62.194841 2.13 10.85 10338 0.98
43991 GOODS-N 189.169432 62.193226 2.15 10.22 10386 1.02
44756 GOODS-N 189.202412 62.194457 2.26 10.78 10539 0.99
45026 GOODS-N 189.179994 62.196666 1.97 10.70 10715 0.97
45321 GOODS-N 189.188819 62.195236 0.79 8.28 10763 0.56
46348 GOODS-N 189.181514 62.196058 1.31 8.77 10784 0.90
46085 GOODS-N 189.205872 62.195955 1.14 8.32 10786 0.68
45117 GOODS-N 189.185414 62.195487 0.72 8.94 10812 0.97
45150 GOODS-N 189.162244 62.195516 1.40 9.56 10856 0.92
45506 GOODS-N 189.206914 62.196042 0.86 9.03 10857 1.01
46214 GOODS-N 189.201735 62.196234 1.37 9.20 10939 0.94
45958 GOODS-N 189.167239 62.196253 1.98 10.23 10953 0.98
45496 GOODS-N 189.205229 62.196807 1.70 10.10 10968 0.99
46952 GOODS-N 189.165819 62.197251 0.84 8.53 11046 0.94
45451 GOODS-N 189.159565 62.197454 1.98 10.32 11067 0.83
46694 GOODS-N 189.177263 62.197220 0.66 8.73 11089 0.96
46914 GOODS-N 189.197738 62.197467 1.06 9.15 11143 0.92
46626 GOODS-N 189.205638 62.197392 0.76 8.93 11159 0.95
47644 GOODS-N 189.177954 62.198493 0.38 7.82 11280 0.87
47511 GOODS-N 189.194483 62.198332 1.17 8.66 11293 0.94
46546 GOODS-N 189.180909 62.197659 0.76 9.63 11332 1.24
47252 GOODS-N 189.205633 62.198629 0.61 9.28 11393 0.96
46766 GOODS-N 189.188918 62.198477 2.26 10.59 11397 1.02
46687 GOODS-N 189.187768 62.198382 1.05 9.01 11477 0.97
48681 GOODS-N 189.203322 62.200588 1.57 8.74 11769 0.86
48849 GOODS-N 189.171543 62.200804 0.82 7.88 11778 0.57
48514 GOODS-N 189.198000 62.200709 1.00 8.88 11837 0.92
48954 GOODS-N 189.160630 62.200983 0.84 8.03 11856 0.86
49098 GOODS-N 189.202454 62.201096 0.97 8.56 11872 0.87
48229 GOODS-N 189.191530 62.200388 1.05 8.83 11900 0.66
48216 GOODS-N 189.170196 62.200850 0.97 9.44 11961 0.98
49001 GOODS-N 189.169809 62.201376 1.54 9.29 11997 0.83
48250 GOODS-N 189.193408 62.201279 0.69 8.85 12042 1.19
48189 GOODS-N 189.166745 62.202052 1.73 10.56 12078 0.99
50265 GOODS-N 189.196850 62.203511 0.35 7.57 12294 0.69
50210 GOODS-N 189.196208 62.203478 0.58 8.00 12341 0.65
49779 GOODS-N 189.164335 62.203273 2.07 10.14 12451 0.97
50542 GOODS-N 189.205575 62.204041 0.83 8.71 12454 0.95
49569 GOODS-N 189.165540 62.203909 2.08 9.80 12460 0.80
48650 GOODS-N 189.209032 62.204725 2.03 10.51 12511 0.93
50439 GOODS-N 189.172884 62.204168 2.15 10.50 12641 1.07
50422 GOODS-N 189.181790 62.205071 1.06 9.35 12747 0.75
51485 GOODS-N 189.206371 62.205590 0.95 9.01 12780 0.98
51988 GOODS-N 189.167086 62.206178 0.27 7.42 12846 0.70
51220 GOODS-N 189.214313 62.205768 0.87 8.90 12864 1.02
50670 GOODS-N 189.162428 62.205493 1.13 9.32 12878 0.56
52006 GOODS-N 189.209783 62.206380 1.15 8.93 12916 1.26
51003 GOODS-N 189.204441 62.205905 1.01 9.72 12994 0.94
52241 GOODS-N 189.208115 62.207081 1.11 9.65 13138 1.18
52591 GOODS-N 189.189021 62.207439 0.57 7.83 13144 0.84
52497 GOODS-N 189.179755 62.207808 0.86 8.82 13296 0.83
53198 GOODS-N 189.168761 62.208508 0.84 8.78 13409 1.22
52869 GOODS-N 189.165553 62.208192 0.88 9.37 13411 0.77
53566 GOODS-N 189.192809 62.209301 1.13 8.80 13563 0.89
52948 GOODS-N 189.166147 62.208782 1.13 8.85 13564 0.66
53403 GOODS-N 189.166619 62.209355 1.06 9.17 13608 1.04
52896 GOODS-N 189.199133 62.209159 1.26 9.76 13640 0.94
53921 GOODS-N 189.173435 62.209916 1.26 8.60 13697 0.56
53471 GOODS-N 189.179822 62.211731 2.23 10.78 13774 0.83
54384 GOODS-N 189.191483 62.210633 1.01 8.39 13864 0.83
54697 GOODS-N 189.165546 62.211144 0.64 8.41 13919 1.26
53708 GOODS-N 189.209434 62.212731 2.28 10.75 13977 0.69
54220 GOODS-N 189.187491 62.211007 1.17 9.66 14039 1.25
54327 GOODS-N 189.184139 62.211217 0.95 9.36 14076 0.92
54815 GOODS-N 189.207787 62.211742 0.76 8.67 14084 0.79
54986 GOODS-N 189.196028 62.212037 0.72 7.70 14118 0.59
54689 GOODS-N 189.172481 62.211722 1.09 8.16 14136 0.64
53563 GOODS-N 189.192230 62.212921 1.86 10.38 14158 0.87
54405 GOODS-N 189.166361 62.213902 1.65 10.51 14184 0.82
55063 GOODS-N 189.177024 62.212531 0.74 8.56 14234 1.07
55513 GOODS-N 189.206135 62.213547 1.52 9.27 14576 0.66
55392 GOODS-N 189.176715 62.214535 1.48 10.33 14597 1.16
56190 GOODS-N 189.198106 62.214635 1.01 8.79 14821 0.65
56832 GOODS-N 189.193890 62.215352 1.00 8.86 14888 0.91
57038 GOODS-N 189.164537 62.215600 0.61 7.87 14924 0.83
57178 GOODS-N 189.168065 62.215839 0.67 8.08 14930 0.89
58124 GOODS-N 189.173459 62.217493 0.86 9.08 15328 1.17
58595 GOODS-N 189.201905 62.218043 1.01 8.51 15386 0.90
58831 GOODS-N 189.186250 62.218547 0.94 7.93 15476 0.56
58137 GOODS-N 189.177196 62.218111 0.89 9.00 15477 0.98
58650 GOODS-N 189.207008 62.218724 0.83 8.88 15618 0.94
59713 GOODS-N 189.165846 62.219700 1.09 8.18 15682 0.58
59121 GOODS-N 189.204314 62.219388 0.86 8.91 15702 0.91
59472 GOODS-N 189.165456 62.219597 1.06 8.27 15716 0.67
59445 GOODS-N 189.165097 62.219634 1.12 9.01 15726 1.02
59873 GOODS-N 189.175126 62.220056 1.15 8.81 15764 1.07
60049 GOODS-N 189.185239 62.220297 0.61 8.04 15791 0.76
59531 GOODS-N 189.199658 62.220145 0.93 8.51 15816 0.74
59398 GOODS-N 189.201068 62.220516 1.91 10.42 15902 1.18
60003 GOODS-N 189.202064 62.220639 1.02 8.40 15926 0.68
58856 GOODS-N 189.160277 62.220296 1.00 9.36 15940 0.58
59375 GOODS-N 189.171367 62.220700 1.31 10.02 16041 1.01
60666 GOODS-N 189.185897 62.221923 0.87 8.27 16170 0.66
59863 GOODS-N 189.203237 62.221803 1.08 9.47 16214 0.80
60675 GOODS-N 189.176570 62.222037 1.15 9.02 16257 0.82
61065 GOODS-N 189.175163 62.222600 0.89 9.15 16331 0.87
61418 GOODS-N 189.202085 62.223005 0.76 8.93 16337 1.17
61113 GOODS-N 189.204020 62.222756 0.72 9.00 16375 1.22
60858 GOODS-N 189.204443 62.222733 1.96 10.29 16454 1.00
62741 GOODS-N 189.189705 62.224969 0.70 7.67 16691 0.60
61746 GOODS-N 189.202411 62.224541 1.19 9.69 16752 0.95
61291 GOODS-N 189.162352 62.224831 2.37 10.83 16758 0.99
62388 GOODS-N 189.197674 62.225022 1.08 9.37 16871 0.94
62562 GOODS-N 189.160596 62.225268 0.88 8.67 16893 0.71
63084 GOODS-N 189.196095 62.225853 0.88 8.40 16937 0.80
62543 GOODS-N 189.179443 62.225736 0.84 8.86 16960 0.97
63169 GOODS-N 189.164387 62.225882 1.26 9.12 16965 0.93
63410 GOODS-N 189.192164 62.226301 0.87 8.34 16994 0.70
62376 GOODS-N 189.180433 62.225739 1.10 9.48 17065 0.93
62107 GOODS-N 189.160379 62.227500 2.19 10.77 17194 1.00
64178 GOODS-N 189.166293 62.227284 0.87 8.78 17207 1.04
64358 GOODS-N 189.209093 62.228300 0.77 9.00 17408 1.28
63526 GOODS-N 189.171079 62.227721 1.90 10.08 17436 0.87
64394 GOODS-N 189.178468 62.228348 0.87 8.89 17502 0.99
64590 GOODS-N 189.199375 62.228932 0.85 8.44 17551 1.31
63419 GOODS-N 189.170656 62.228186 1.16 9.78 17553 1.00
64211 GOODS-N 189.196561 62.228320 1.05 9.88 17579 1.30
65347 GOODS-N 189.169239 62.229500 0.89 8.14 17608 0.74
65170 GOODS-N 189.198629 62.229511 0.84 8.55 17670 0.98
65589 GOODS-N 189.175601 62.230087 0.89 8.12 17773 0.82
64523 GOODS-N 189.179820 62.229866 1.19 9.96 17898 1.21
66217 GOODS-N 189.180451 62.231351 0.99 8.75 18022 1.05
66045 GOODS-N 189.164073 62.231275 0.60 8.62 18036 1.06
64178 GOODS-N 189.166293 62.227284 0.87 8.78 17207 1.04
64358 GOODS-N 189.209093 62.228300 0.77 9.00 17408 1.28
63526 GOODS-N 189.171079 62.227721 1.90 10.08 17436 0.87
64394 GOODS-N 189.178468 62.228348 0.87 8.89 17502 0.99
64590 GOODS-N 189.199375 62.228932 0.85 8.44 17551 1.31
63419 GOODS-N 189.170656 62.228186 1.16 9.78 17553 1.00
64211 GOODS-N 189.196561 62.228320 1.05 9.88 17579 1.30
65347 GOODS-N 189.169239 62.229500 0.89 8.14 17608 0.74
65170 GOODS-N 189.198629 62.229511 0.84 8.55 17670 0.98
65589 GOODS-N 189.175601 62.230087 0.89 8.12 17773 0.82
64523 GOODS-N 189.179820 62.229866 1.19 9.96 17898 1.21
66217 GOODS-N 189.180451 62.231351 0.99 8.75 18022 1.05
66045 GOODS-N 189.164073 62.231275 0.60 8.62 18036 1.06
64469 GOODS-N 189.172778 62.234115 2.27 10.59 18132 0.57
65404 GOODS-N 189.193118 62.234639 1.73 10.80 18224 1.01
66218 GOODS-N 189.162046 62.231821 1.00 9.41 18251 1.21
67081 GOODS-N 189.211987 62.232604 0.57 7.74 18259 0.80
65831 GOODS-N 189.191797 62.232340 1.39 9.40 18363 0.91
66873 GOODS-N 189.171052 62.232887 1.66 9.48 18442 0.92
67460 GOODS-N 189.162467 62.233276 0.85 8.74 18452 1.21
66997 GOODS-N 189.209484 62.233126 0.89 9.33 18564 1.26
67551 GOODS-N 189.180792 62.233805 0.92 8.47 18585 0.93
68134 GOODS-N 189.208584 62.234369 1.17 8.06 18677 0.71
67343 GOODS-N 189.174376 62.234052 1.08 9.26 18736 1.14
68057 GOODS-N 189.177222 62.234669 0.93 8.78 18805 1.15
68430 GOODS-N 189.198474 62.234959 1.05 8.53 18868 0.92
68518 GOODS-N 189.188636 62.235300 0.88 7.86 18887 0.61
66753 GOODS-N 189.206239 62.235220 1.60 10.23 18898 0.72
68819 GOODS-N 189.209218 62.235475 0.52 7.43 18911 0.56
68941 GOODS-N 189.172495 62.235756 1.11 8.30 18987 0.88
68706 GOODS-N 189.202276 62.235508 1.86 9.55 18988 1.08
68720 GOODS-N 189.214121 62.235611 1.50 9.62 19011 1.24
69195 GOODS-N 189.199819 62.236347 0.79 8.45 19094 1.04
69397 GOODS-N 189.174139 62.237036 1.05 8.43 19303 0.58
68696 GOODS-N 189.201401 62.236793 1.01 9.24 19316 0.99
69509 GOODS-N 189.200377 62.237364 1.07 9.14 19373 0.96
69819 GOODS-N 189.194334 62.237569 0.81 8.41 19374 0.86
68612 GOODS-N 189.196558 62.237297 1.93 9.34 19434 0.57
69419 GOODS-N 189.209817 62.237606 1.02 8.76 19453 0.82
70082 GOODS-N 189.178410 62.238050 1.32 8.33 19467 0.66
69106 GOODS-N 189.206535 62.237425 0.90 9.00 19468 0.92
69850 GOODS-N 189.209772 62.238518 1.07 9.43 19708 0.88
70727 GOODS-N 189.193395 62.239198 1.08 8.00 19749 0.57
70677 GOODS-N 189.186585 62.239519 1.24 9.12 19860 0.98
70974 GOODS-N 189.168623 62.239966 2.20 9.89 19955 0.96
70874 GOODS-N 189.162256 62.239972 2.14 9.99 20006 0.87
71675 GOODS-N 189.178326 62.240787 1.07 8.79 20047 0.94
71974 GOODS-N 189.210599 62.241267 0.93 8.43 20120 0.62
72081 GOODS-N 189.184091 62.241727 0.63 8.49 20252 0.91
72412 GOODS-N 189.214714 62.242193 0.78 7.56 20273 0.58
71252 GOODS-N 189.169153 62.241456 1.00 9.15 20312 0.94
71891 GOODS-N 189.180827 62.242060 2.10 9.23 20388 0.90
72168 GOODS-N 189.216993 62.242371 0.87 8.93 20426 1.23
72261 GOODS-N 189.167346 62.242295 1.07 8.95 20427 0.91
72809 GOODS-N 189.211105 62.243276 0.78 7.79 20555 0.63
73331 GOODS-N 189.213557 62.243847 1.17 8.66 20665 0.93
72986 GOODS-N 189.173811 62.243790 0.85 9.21 20755 0.93
73393 GOODS-N 189.208540 62.244323 0.66 7.70 20778 0.58
73160 GOODS-N 189.214989 62.244120 1.50 8.70 20784 0.62
73362 GOODS-N 189.174064 62.244365 0.67 9.15 20823 1.10
73626 GOODS-N 189.171809 62.244711 0.82 8.42 20836 0.76
74125 GOODS-N 189.170245 62.245287 0.79 8.62 20971 1.06
73635 GOODS-N 189.216652 62.245125 1.17 8.13 20974 0.65
72684 GOODS-N 189.190696 62.245107 1.05 9.81 21022 1.20
72800 GOODS-N 189.195373 62.246516 2.25 10.41 21047 0.65
75001 GOODS-N 189.168439 62.246726 1.05 8.28 21244 0.56
75179 GOODS-N 189.216459 62.247455 0.94 8.57 21401 0.99
74943 GOODS-N 189.171402 62.247696 0.96 8.81 21471 1.01
75429 GOODS-N 189.186019 62.247800 0.65 8.43 21487 1.04
74794 GOODS-N 189.192301 62.247729 1.08 8.88 21546 0.64
76123 GOODS-N 189.168260 62.248753 0.94 8.30 21611 0.79
75367 GOODS-N 189.208552 62.248338 1.26 9.39 21670 0.90
74641 GOODS-N 189.174731 62.249069 2.11 10.30 21717 0.85
75917 GOODS-N 189.206134 62.249044 0.88 7.63 21720 1.00
75659 GOODS-N 189.186664 62.248714 1.20 9.52 21732 0.92
75556 GOODS-N 189.203636 62.248798 1.25 9.28 21743 0.88
76206 GOODS-N 189.163638 62.249598 1.00 8.20 21823 0.58
76359 GOODS-N 189.177664 62.249707 0.90 8.27 21864 0.82
76107 GOODS-N 189.192888 62.249808 1.05 8.88 21921 0.84
77076 GOODS-N 189.193186 62.250753 0.79 7.92 22013 0.73
77037 GOODS-N 189.166959 62.250629 1.88 8.90 22040 0.84
77232 GOODS-N 189.180867 62.251231 1.17 8.42 22177 0.90
77570 GOODS-N 189.165004 62.251523 0.17 7.96 22194 1.10
76098 GOODS-N 189.201368 62.252073 2.34 10.85 22213 0.86
76778 GOODS-N 189.170511 62.251326 1.92 9.96 22324 0.84
76889 GOODS-N 189.169652 62.251295 2.80 10.29 22363 0.94
76917 GOODS-N 189.181488 62.251585 1.21 9.69 22406 0.93
76936 GOODS-N 189.166858 62.251425 1.32 9.04 22409 0.69
78104 GOODS-N 189.198835 62.252532 1.75 8.14 22444 0.60
77819 GOODS-N 189.174734 62.252426 1.75 8.97 22466 0.84
78220 GOODS-N 189.191420 62.252912 0.17 7.91 22503 0.94
76773 GOODS-N 189.200526 62.252329 1.01 9.28 22513 1.00
78263 GOODS-N 189.174795 62.252954 0.93 8.23 22546 0.90
78349 GOODS-N 189.191710 62.253148 1.31 8.24 22563 0.65
77596 GOODS-N 189.187838 62.252627 0.87 8.80 22652 0.71
78180 GOODS-N 189.215379 62.253250 0.66 8.11 22686 0.78
78906 GOODS-N 189.212259 62.254012 0.67 7.59 22747 0.64
78345 GOODS-N 189.201450 62.253779 0.92 8.85 22873 0.90
80090 GOODS-N 189.185227 62.256183 1.01 8.00 23218 0.61
80098 GOODS-N 189.201800 62.256371 0.87 8.38 23268 0.80
79986 GOODS-N 189.205777 62.256364 1.67 8.97 23301 0.83
79195 GOODS-N 189.211694 62.256160 1.81 10.05 23302 0.94
79903 GOODS-N 189.189328 62.256443 0.78 9.29 23423 0.68
80411 GOODS-N 189.193273 62.258074 2.25 10.53 23631 0.84
80645 GOODS-N 189.196029 62.258362 1.13 9.16 23831 0.64
82035 GOODS-N 189.185634 62.259573 0.79 7.93 23899 0.61
81988 GOODS-N 189.169946 62.259536 1.09 8.52 23911 0.66
79928 GOODS-N 189.181350 62.258988 1.24 9.63 23950 0.88
81946 GOODS-N 189.215636 62.259795 1.14 8.79 23961 0.86
81024 GOODS-N 189.170372 62.259438 2.21 9.88 23992 0.82
82400 GOODS-N 189.183918 62.260039 0.99 8.55 24018 0.67
82391 GOODS-N 189.207833 62.260144 0.83 8.44 24035 0.86
82009 GOODS-N 189.182652 62.260130 1.08 8.57 24090 0.60
79185 GOODS-N 189.165655 62.263279 2.44 11.29 24107 0.85
82693 GOODS-N 189.206726 62.260614 0.83 8.84 24124 0.85
82480 GOODS-N 189.193275 62.260625 0.99 9.35 24189 1.27
82523 GOODS-N 189.207737 62.260645 0.64 8.94 24190 0.96
82368 GOODS-N 189.167200 62.260921 2.01 10.67 24234 1.23
82141 GOODS-N 189.195261 62.261281 1.51 10.23 24278 0.95
82799 GOODS-N 189.167137 62.261300 0.88 9.01 24367 0.95
82382 GOODS-N 189.173773 62.261980 0.88 7.89 24428 0.59
82267 GOODS-N 189.207799 62.261628 1.73 10.12 24444 0.92
83434 GOODS-N 189.179330 62.262564 1.75 8.86 24539 0.87
84233 GOODS-N 189.209330 62.263071 0.69 8.12 24613 0.93
84028 GOODS-N 189.207088 62.262951 1.36 9.15 24645 0.83
84321 GOODS-N 189.204027 62.263223 1.84 8.79 24674 0.64
83432 GOODS-N 189.206830 62.262797 1.34 9.39 24685 0.93
84502 GOODS-N 189.169071 62.263488 0.53 8.03 24689 0.95
84033 GOODS-N 189.190031 62.263208 2.23 9.67 24749 0.73
83628 GOODS-N 189.207436 62.263289 1.73 9.62 24784 0.87
83503 GOODS-N 189.202551 62.264620 1.95 10.59 24795 0.86
84467 GOODS-N 189.167514 62.263927 0.62 8.14 24865 0.61
84143 GOODS-N 189.208305 62.263807 0.91 8.95 24886 0.91
84543 GOODS-N 189.165737 62.264182 1.98 9.37 24960 0.91
84626 GOODS-N 189.198114 62.264728 0.80 9.24 25059 0.92
84617 GOODS-N 189.174376 62.264850 1.99 9.36 25092 0.89
85002 GOODS-N 189.162362 62.264730 2.17 9.71 25105 0.87
85023 GOODS-N 189.205451 62.265009 1.44 9.06 25146 0.82
84649 GOODS-N 189.167020 62.266145 2.22 10.39 25153 0.84
85556 GOODS-N 189.180469 62.265570 0.62 8.41 25171 0.93
85073 GOODS-N 189.165950 62.267053 2.59 10.58 25197 0.97
85385 GOODS-N 189.209568 62.265647 1.09 8.79 25232 0.88
85372 GOODS-N 189.178799 62.265709 1.44 9.06 25238 1.14
85356 GOODS-N 189.162244 62.265993 1.99 10.30 25290 0.84
85879 GOODS-N 189.183596 62.266385 0.73 8.96 25392 1.16
86297 GOODS-N 189.209391 62.267033 0.99 7.92 25483 0.57
85489 GOODS-N 189.168490 62.267271 2.14 9.82 25561 0.85
86234 GOODS-N 189.180129 62.267792 1.04 8.81 25684 0.93
86941 GOODS-N 189.193477 62.268496 0.70 8.13 25830 0.84
87619 GOODS-N 189.212179 62.269401 0.86 7.92 25955 0.59
87608 GOODS-N 189.209029 62.269430 1.08 8.35 25961 0.83
88056 GOODS-N 189.174403 62.270025 1.01 8.16 26104 0.84
87433 GOODS-N 189.187144 62.271319 1.26 9.77 26139 0.77
87823 GOODS-N 189.189733 62.270464 1.32 9.43 26165 0.98
87634 GOODS-N 189.168985 62.270239 1.19 8.59 26166 0.74
88045 GOODS-N 189.169358 62.270382 1.01 8.39 26201 0.75
87585 GOODS-N 189.179891 62.273634 2.33 11.16 26239 0.84
88175 GOODS-N 189.193954 62.270996 0.98 9.15 26326 1.05
88207 GOODS-N 189.179041 62.270856 1.56 8.28 26339 0.61
88344 GOODS-N 189.179075 62.271135 1.39 8.52 26367 0.58
88566 GOODS-N 189.172075 62.271681 2.02 10.00 26402 0.79
87368 GOODS-N 189.163692 62.272982 2.26 10.65 26430 0.82
88772 GOODS-N 189.196592 62.271906 1.60 8.79 26530 0.56
88679 GOODS-N 189.163354 62.273376 2.40 10.93 26544 0.84
88858 GOODS-N 189.176557 62.272816 1.46 9.60 26567 0.82
88880 GOODS-N 189.176721 62.272061 1.21 8.51 26569 0.59
89030 GOODS-N 189.182057 62.272922 2.07 9.82 26570 0.82
89189 GOODS-N 189.192939 62.272353 1.19 8.07 26610 0.62
89239 GOODS-N 189.176408 62.273140 2.02 9.69 26631 0.87
89514 GOODS-N 189.180486 62.274130 2.15 10.42 26771 0.83
90095 GOODS-N 189.185824 62.274127 2.06 9.42 26927 0.84
