# Catalog for all galaxies that matched between 3DHST and FIGS within 1.2<z<1.8 for gn1. 
# figs_id redshift ra dec dn4000 dn4000_err d4000 d4000_err
672 1.234 189.163498 62.316452 nan nan nan nan
789 1.502 189.163193 62.314182 0.0217 0.0000 0.8649 0.0000
844 1.653 189.182877 62.312733 inf nan -inf nan
853 1.653 189.176468 62.312607 1.6146 3.2593 1.2965 1.5721
861 1.719 189.200989 62.312458 -0.4387 0.0000 -0.1667 0.0000
875 1.401 189.179718 62.312260 1.8634 0.0000 1.0064 1.3797
878 1.696 189.138733 62.312214 -inf nan -inf nan
883 1.607 189.181534 62.312065 0.0363 2.0606 -0.6001 2.6537
890 1.745 189.200729 62.311932 0.7585 0.0000 0.7978 0.0000
905 1.216 189.177856 62.311710 1.2293 0.0000 1.5853 0.5149
924 1.266 189.186157 62.311146 0.5879 0.0000 0.8620 0.0000
927 1.527 189.172699 62.311092 1.1097 1.1565 0.8822 2.0135
933 1.594 189.186813 62.310532 1.0993 0.4648 1.2991 0.3799
960 1.478 189.141373 62.310150 -inf nan inf nan
974 1.739 189.175583 62.309952 -226.5675 154538.8998 3.7924 16.0140
977 1.708 189.185196 62.309879 0.7549 3.1570 0.5938 2.4097
991 1.649 189.166351 62.309273 1.8322 3.3375 1.9451 2.8225
1015 1.606 189.157745 62.309097 1.6000 17.8325 0.5836 3.0980
1058 1.669 189.135468 62.308247 -1.8730 0.0000 -16.8316 49.0195
1074 1.369 189.178207 62.307995 0.3849 7.6600 1.3940 11.5231
1079 1.578 189.187012 62.307812 0.0186 6.7973 0.3300 7.7006
1114 1.501 189.141113 62.306934 0.5267 1.1191 0.8789 2.5506
1140 1.262 189.177673 62.305775 1.1179 0.8908 1.4028 0.6948
1147 1.584 189.197403 62.305897 1.5860 6.1599 2.4373 13.3968
1161 1.769 189.169754 62.305538 1.0002 3.8959 0.4068 1.1488
1201 1.492 189.188202 62.304482 1.0986 4.9738 1.4409 4.7783
1269 1.266 189.188385 62.303043 0.7015 10.3002 0.5046 3.3583
1280 1.244 189.173096 62.302639 1.1963 32.2141 -0.0600 3.9860
1281 1.718 189.210815 62.302658 0.5189 0.6234 0.8701 1.1761
1292 1.625 189.157944 62.302372 3.4744 122.6869 -1.9831 29.0871
1295 1.731 189.197098 62.302254 0.8005 7.3056 1.8698 9.6407
1303 1.746 189.163132 62.302036 0.6987 2.1082 0.5491 1.7296
1305 1.472 189.133163 62.301987 0.8401 0.0000 1.1540 0.0000
1314 1.291 189.203491 62.301655 0.9576 1.8206 0.7386 1.0122
1329 1.531 189.163406 62.301346 1.3343 20.6944 1.3097 12.7277
1330 1.636 189.199814 62.301327 0.6705 3.1089 1.0224 2.9748
