# PearsID field ra dec U_flux f435w_flux f606w_flux f775w_flux f850lp_flux f125w_flux f140w_flux f160w_flux irac1_flux irac2_flux irac3_flux irac4_flux U_flux_err f435w_flux_err f606w_flux_err f775w_flux_err f850lp_flux_err f125w_flux_err f140w_flux_err f160w_flux_err irac1_flux_err irac2_flux_err irac3_flux_err irac4_flux_err
52138 GOODS-N 189.104018 62.206558 2.353e-19 4.385e-19 2.896e-19 1.950e-19 1.462e-19 1.180e-19 9.566e-20 1.090e-19 1.688e-20 1.059e-20 3.795e-21 1.153e-21 4.017e-20 1.431e-20 6.835e-21 6.275e-21 5.600e-21 3.608e-21 3.981e-21 4.169e-21 1.367e-21 1.057e-21 3.121e-21 3.469e-19
51915 GOODS-N 189.107413 62.206286 4.267e-19 4.067e-19 1.935e-19 1.047e-19 9.720e-20 1.005e-19 6.622e-20 4.236e-20 5.876e-21 2.692e-21 5.031e-21 -9.900e+01 5.602e-20 2.198e-20 1.036e-20 9.524e-21 8.552e-21 5.329e-21 6.287e-21 5.929e-21 1.628e-21 1.188e-21 3.499e-21 5.158e-21
51284 GOODS-N 189.109780 62.205439 7.442e-19 8.475e-19 4.823e-19 3.391e-19 2.855e-19 3.312e-19 2.909e-19 2.398e-19 6.516e-20 4.468e-20 2.439e-20 1.009e-20 4.881e-20 2.172e-20 1.030e-20 9.474e-21 8.399e-21 5.616e-21 6.059e-21 9.567e-21 1.399e-21 9.981e-22 3.153e-21 1.721e-21
51107 GOODS-N 189.109928 62.204785 1.727e-19 1.253e-19 6.089e-20 5.029e-20 5.882e-20 4.756e-20 2.847e-20 2.440e-20 1.322e-20 5.295e-21 -9.900e+01 -9.900e+01 5.369e-20 1.689e-20 7.987e-21 7.337e-21 6.548e-21 3.753e-21 4.677e-21 5.746e-21 1.935e-21 1.405e-21 4.553e-21 5.452e-19
51138 GOODS-N 189.110687 62.204625 1.195e-19 1.326e-19 1.507e-19 1.241e-19 9.133e-20 4.241e-20 4.099e-20 2.942e-20 -9.900e+01 -9.900e+01 -9.900e+01 -9.900e+01 4.237e-20 1.397e-20 6.594e-21 5.978e-21 5.382e-21 2.722e-21 3.881e-21 3.768e-21 1.997e-21 1.431e-21 4.713e-21 2.559e-21
49923 GOODS-N 189.110831 62.203050 1.166e-19 6.704e-20 4.854e-20 6.802e-20 6.649e-20 5.402e-20 4.234e-20 3.298e-20 9.872e-21 2.211e-21 -9.900e+01 6.496e-22 5.079e-20 1.261e-20 5.998e-21 5.432e-21 4.902e-21 2.737e-21 3.412e-21 4.284e-21 2.237e-21 1.840e-21 5.238e-21 1.154e-19
74236 GOODS-N 189.110859 62.245530 6.228e-19 5.072e-19 3.476e-19 4.089e-19 2.004e-19 1.122e-19 9.145e-20 8.334e-20 1.378e-20 7.005e-21 -9.900e+01 -9.900e+01 4.368e-20 1.439e-20 5.715e-21 5.261e-21 4.779e-21 1.830e-21 4.208e-21 2.586e-21 3.530e-21 1.510e-21 8.893e-21 4.455e-21
54847 GOODS-N 189.110895 62.214474 6.287e-18 4.088e-18 5.629e-18 6.892e-18 6.661e-18 5.272e-18 4.830e-18 4.433e-18 7.952e-19 3.689e-19 2.123e-19 9.466e-20 7.833e-20 7.076e-20 2.984e-20 2.679e-20 2.394e-20 1.108e-20 1.945e-20 1.541e-20 3.502e-21 1.652e-21 3.897e-21 1.839e-21
75943 GOODS-N 189.111687 62.249965 6.526e-20 1.631e-19 4.487e-19 1.055e-18 1.283e-18 1.231e-18 1.137e-18 1.071e-18 2.998e-19 1.206e-19 6.658e-20 1.767e-20 4.232e-20 1.973e-20 7.755e-21 7.139e-21 6.485e-21 2.483e-21 5.270e-21 5.714e-21 4.759e-21 1.703e-21 7.686e-21 3.706e-21
55664 GOODS-N 189.112119 62.213317 1.106e-18 8.125e-19 4.761e-19 3.235e-19 2.731e-19 2.909e-19 2.365e-19 1.897e-19 4.531e-20 2.886e-20 6.403e-21 7.632e-22 5.340e-20 2.274e-20 9.542e-21 8.522e-21 7.692e-21 3.609e-21 6.251e-21 5.369e-21 3.069e-21 1.464e-21 3.420e-21 1.168e-20
