# libname formtime formtime_err tau tau_err mass_wht_age mass_wht_age_err logmstar
bc03 9.88930171 4.32383228 63.095 38.29266418 9.46818948 1.68667389 7.84402437732
fsps 9.9 7.95336967 0.01 0.03221558 9.8493826 7.29569367 7.84402437732
bc03 9.88930171 9.75025681 63.095 95.91596987 9.46818948 3.63365139 8.57571917026
fsps 9.9 16.22990294 0.02511886 0.08212505 7.92245334 0.15221166 8.57571917026
bc03 8.00654305 0.02829841 63.095 184.38473622 7.57109256 0.01318308 9.51637549023
fsps 8.05 0.05095984 63.09573445 177.79631831 7.61339867 0.01966814 9.51637549023
bc03 9.88930171 0.1432729 0.01 0.00803885 9.88873779 0.23327941 7.84402437732
fsps 9.9 0.03611633 0.01584893 0.00361068 9.89912899 0.03766935 7.84402437732
bc03 9.88930171 2.58987238 63.095 25.0359681 9.33513553 0.7404265 8.57571917026
fsps 9.9 9.54411737 6.30957344 16.95502655 9.59025403 4.33364504 8.57571917026
bc03 9.75966785 1.49317267 63.095 54.71773048 9.33513553 0.51532531 9.51637549023
fsps 9.9 3.56560716 10. 12.00353799 9.54746091 1.59764954 9.51637549023
bc03 9.88930171 2.3598995 63.095 69.66871528 9.50644102 0.84656528 10.3542759466
fsps 9.9 1.194928 3.98107171 10.90015586 9.64924991 1.31844509 10.3542759466
bc03 9.88930171 0.37248234 6.3095 20.171817 9.5768207 1.28174809 8.57571917026
fsps 9.9 0.71563168 0.01584893 0.00665192 9.89912899 0.78979478 8.57571917026
bc03 9.88930171 0.98449474 3.981 4.9872107 9.5768207 0.83331498 9.51637549023
fsps 9.9 0.52148613 0.01 0.01961445 9.89912899 1.59227855 9.51637549023
bc03 9.84509804 0.43893815 0.01 0.01884392 9.84447362 1.03074003 10.3542759466
fsps 9.9 0.09806426 0.01584893 0.01060506 9.89912899 0.45026516 10.3542759466
bc03 9.88930171 0.23992958 0.01 0.00776657 9.88873779 0.25571043 8.57571917026
fsps 9.9 0.33647172 0.01584893 0.02814302 9.89912899 0.80737069 8.57571917026
bc03 9.88930171 0.4941472 0.01 0.02315077 9.88873779 1.57613125 9.51637549023
fsps 9.9 0.82961774 1.58489319 2.01851739 9.78835559 0.46636868 9.51637549023
bc03 9.88930171 3.72069718 1.5848 3.4579906 9.57286424 1.48114378 10.3542759466
fsps 9.9 1.67802508 0.39810717 0.5960033 9.87700961 1.59822034 10.3542759466
bc03 9.88930171 2.67009027 0.01 0.02246219 9.70583916 1.44946348 11.2320833333
fsps 9.9 1.36870139 0.01584893 0.02404195 9.89912899 1.43408532 11.2320833333
bc03 9.88930171 2.36960499 2.5118 5.28959724 9.70583916 1.48731359 10.3542759466
fsps 9.9 2.1202232 0.01584893 0.02464864 9.89912899 2.16521563 10.3542759466
bc03 9.88930171 2.08208859 0.01 0.02029851 9.88873779 2.24306046 11.2320833333
fsps 9.9 1.29514785 1. 1.92681409 9.83565887 0.907711 11.2320833333
