#   PearsID  Field  RA  DEC  zspec  zp_minchi2  zspz_minchi2  zg_minchi2  zp  zspz  zg  zp_zerr_low  zp_zerr_up  zspz_zerr_low  zspz_zerr_up  zg_zerr_low  zg_zerr_up  zp_min_chi2  zspz_min_chi2  zg_min_chi2  zp_bestalpha  zspz_bestalpha  zg_bestalpha  zp_model_idx  zspz_model_idx  zg_model_idx  zp_age  zp_tau  zp_av  zspz_age  zspz_tau  zspz_av  zg_age  zg_tau  zg_av  zp_template_ms  zp_ms  zp_sfr  zp_uv  zp_vj  zspz_template_ms  zspz_ms  zspz_sfr  zspz_uv  zspz_vj  zg_template_ms  zg_ms  zg_sfr  zg_uv  zg_vj  figs_id  figs_field  figs_ra  figs_dec  ur_col
107198  GOODS-N  189.3328847  62.305186  -99.  1.07  -99.  -99.  1.  -99.  -99.  0.99  1.35  -99.  -99.  -99.  -99.  0.39  -99.  -99.  1.21e+09  -99.  -99.  2034  -99  -99  9.06  0.631  0.  -99.  -99.  -99.  -99.  -99.  -99.  0.5124  6.19e+08  0.  0.0878  1.2415  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  891  GN2  189.3329030  62.305187  0.887
87792  GOODS-S  53.18337  -27.776381  2.688  2.51  -99.  -99.  2.52  -99.  -99.  2.48  2.54  -99.  -99.  -99.  -99.  4.15  -99.  -99.  6.21e+09  -99.  -99.  30529  -99  -99  7.51  0.0158  2.21  -99.  -99.  -99.  -99.  -99.  -99.  0.7141  4.434e+09  0.  -0.2592  1.6735  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1366  GS1  53.1833650  -27.776382  0.588
96453  GOODS-N  189.4085402  62.288058  -99.  1.01  -99.  -99.  nan  -99.  -99.  1.01  1.01  -99.  -99.  -99.  -99.  35843.6  -99.  -99.  2.99e+11  -99.  -99.  435  -99  -99  9.06  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.5354  1.601e+11  0.  0.3401  0.9801  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1282  GN2  189.4085550  62.288048  1.225
83735  GOODS-S  53.1782294  -27.783074  1.123  1.02  -99.  -99.  1.03  -99.  -99.  1.01  1.03  -99.  -99.  -99.  -99.  6.75  -99.  -99.  1.11e+10  -99.  -99.  4744  -99  -99  9.23  1.58  0.18  -99.  -99.  -99.  -99.  -99.  -99.  0.3882  4.294e+09  0.  0.0979  1.3375  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1884  GS1  53.1782250  -27.783081  0.925
81136  GOODS-S  53.1939277  -27.785801  0.128  0.08  -99.  -99.  0.08  -99.  -99.  0.08  0.09  -99.  -99.  -99.  -99.  26.1  -99.  -99.  1.03e+09  -99.  -99.  5156  -99  -99  10.  6.31  0.18  -99.  -99.  -99.  -99.  -99.  -99.  0.3754  3.872e+08  0.  0.5364  1.8258  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  2082  GS1  53.1939350  -27.785797  1.498
86117  GOODS-S  53.1461664  -27.77988  -99.  2.48  -99.  -99.  2.47  -99.  -99.  2.45  2.56  -99.  -99.  -99.  -99.  3.75  -99.  -99.  1.6e+11  -99.  -99.  36481  -99  -99  9.28  0.631  2.58  -99.  -99.  -99.  -99.  -99.  -99.  0.5375  8.601e+10  0.  0.8505  1.9548  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1643  GS1  53.1461500  -27.779875  1.889
74418  GOODS-S  53.1663885  -27.801828  -99.  0.61  -99.  -99.  0.65  -99.  -99.  0.56  0.69  -99.  -99.  -99.  -99.  1.93  -99.  -99.  1.6e+09  -99.  -99.  2298  -99  -99  9.54  1.58  0.  -99.  -99.  -99.  -99.  -99.  -99.  0.4715  7.567e+08  0.  0.3878  1.6327  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  3092  GS1  53.1663920  -27.801828  1.290
85387  GOODS-S  53.1820419  -27.779543  2.479  2.15  -99.  -99.  2.02  -99.  -99.  2.08  2.26  -99.  -99.  -99.  -99.  4.33  -99.  -99.  5.38e+09  -99.  -99.  18247  -99  -99  7.91  0.0158  1.29  -99.  -99.  -99.  -99.  -99.  -99.  0.7439  4.002e+09  0.  -0.1735  1.2294  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1617  GS1  53.1820340  -27.779542  0.613
93297  GOODS-S  53.1879164  -27.761554  0.127  0.08  -99.  -99.  0.07  -99.  -99.  0.08  0.08  -99.  -99.  -99.  -99.  35.74  -99.  -99.  6.22e+08  -99.  -99.  6961  -99  -99  9.28  0.631  0.37  -99.  -99.  -99.  -99.  -99.  -99.  0.5375  3.344e+08  0.  0.5085  1.5931  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  748  GS1  53.1879030  -27.761555  1.436
94867  GOODS-N  189.182958  62.284898  -99.  0.66  -99.  -99.  0.63  -99.  -99.  0.59  0.68  -99.  -99.  -99.  -99.  830.53  -99.  -99.  1.17e+11  -99.  -99.  36749  -99  -99  9.8  1.58  2.58  -99.  -99.  -99.  -99.  -99.  -99.  0.4656  5.427e+10  0.  1.2836  2.3477  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  2033  GN1  189.1829480  62.284897  2.430
