# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
#pearsid field ra dec old_z new_z dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
9343 GOODS-S 53.135260 -27.799560 0.6400 0.5568 1.0880 0.3242 2.4213 0.6151 317.3106 136.5628
9378 GOODS-S 53.135260 -27.799560 0.6900 0.6788 1.1515 0.1700 1.5348 0.1551 865.8749 864.9769
9382 GOODS-S 53.135260 -27.799560 0.9800 0.9669 1.1876 0.2190 1.3180 0.1788 488.2183 475.6090
10429 GOODS-S 53.135260 -27.799560 0.7400 0.5441 1.9337 2.2679 3.4165 3.7974 262.4193 204.7598
11099 GOODS-S 53.135260 -27.799560 0.7400 0.6624 2.3866 6.0487 2.4058 4.1466 172.6617 166.9183
11507 GOODS-S 53.135260 -27.799560 0.6900 0.5842 1.1900 0.4696 1.5197 0.4124 355.0369 210.1417
12062 GOODS-S 53.135260 -27.799560 1.0400 1.0131 1.2169 0.2019 1.2292 0.1405 1350.7880 1308.7743
12350 GOODS-S 53.135260 -27.799560 0.8200 0.5248 6.0746 18.8665 12.4189 37.5322 211.3521 163.5928
12378 GOODS-S 53.135260 -27.799560 0.6700 0.6589 1.3522 0.1782 1.8672 0.1678 323.4899 322.3135
13499 GOODS-S 53.135260 -27.799560 1.0100 0.9835 1.1813 0.1227 1.3748 0.0998 2050.8161 1885.4606
13856 GOODS-S 53.135260 -27.799560 0.9500 0.9117 1.1042 0.1454 1.1308 0.1086 1254.3244 1040.8687
14215 GOODS-S 53.135260 -27.799560 0.8500 0.7562 1.0769 0.1457 1.3081 0.1325 1396.5508 814.9385
14386 GOODS-S 53.135260 -27.799560 0.6700 0.6372 1.2196 0.3009 1.5112 0.2582 279.2778 223.5825
14555 GOODS-S 53.135260 -27.799560 0.6300 0.6192 1.3896 0.1624 1.6604 0.1357 324.5955 282.0084
15921 GOODS-S 53.135260 -27.799560 0.9100 1.0942 2.4113 4.2728 2.0301 2.0961 211.6953 183.7699
16290 GOODS-S 53.135260 -27.799560 0.7200 0.6644 1.5870 0.5449 1.3461 0.3138 192.0817 173.0020
16836 GOODS-S 53.135260 -27.799560 0.9200 0.9073 1.0848 0.2065 1.1235 0.1626 419.7299 408.8085
17022 GOODS-S 53.135260 -27.799560 0.7300 0.7300 1.4496 0.1742 1.3107 0.1095 2721.3557 2721.3557
17024 GOODS-S 53.135260 -27.799560 0.6500 0.5565 1.1803 0.2287 2.9036 0.4828 981.7725 252.7983
17163 GOODS-S 53.135260 -27.799560 0.9100 0.5074 inf inf inf inf 1677.0416 933.7831
17368 GOODS-S 53.135260 -27.799560 0.9400 0.9144 1.1260 1.3649 1.1955 1.0394 198.6906 186.8877
17587 GOODS-S 53.135260 -27.799560 0.7400 0.3380 nan nan nan nan 767.2195 542.0815
17704 GOODS-S 53.135260 -27.799560 0.7300 0.7300 1.5116 0.3489 1.4477 0.2473 160.8039 160.8039
18260 GOODS-S 53.135260 -27.799560 0.6600 0.6489 1.1871 0.1198 1.5394 0.1037 2157.3545 2124.6889
18484 GOODS-S 53.135260 -27.799560 0.9400 0.9536 1.1489 0.7446 1.0981 0.5448 191.3649 177.6656
18610 GOODS-S 53.135260 -27.799560 0.9200 0.7668 1.0615 1.1035 1.0419 0.7743 199.9908 158.4604
18882 GOODS-S 53.135260 -27.799560 0.6600 0.4645 nan nan inf inf 810.1159 497.0329
18972 GOODS-S 53.135260 -27.799560 0.9200 0.8701 1.3020 0.6362 1.3619 0.4817 266.5149 229.3357
19226 GOODS-S 53.135260 -27.799560 0.6600 0.6274 1.2289 0.2776 1.5912 0.2424 3543.1069 3511.8724
19591 GOODS-S 53.135260 -27.799560 0.8500 0.6225 2.3884 3.6707 2.4783 3.5292 264.1516 205.1786
19952 GOODS-S 53.135260 -27.799560 0.7100 0.7175 2.1589 4.5335 2.2322 3.3779 113.4084 111.3781
20265 GOODS-S 53.135260 -27.799560 1.0800 1.1195 0.8186 0.6442 0.7263 0.6542 374.6567 353.3715
20681 GOODS-S 53.135260 -27.799560 0.9100 0.9514 1.1362 0.5193 1.0840 0.3820 235.0767 232.0098
21592 GOODS-S 53.135260 -27.799560 0.6800 0.6800 1.3509 0.2082 1.7267 0.1802 572.2018 572.2018
21612 GOODS-S 53.135260 -27.799560 0.7300 0.7764 1.2994 0.2101 1.1492 0.1298 1479.3968 1264.0128
21647 GOODS-S 53.135260 -27.799560 0.7800 0.5986 1.5444 0.7556 1.3976 0.4823 622.1562 353.5663
21777 GOODS-S 53.135260 -27.799560 0.6800 0.6578 1.0488 0.2253 1.2405 0.1781 922.1759 908.6061
22266 GOODS-S 53.135260 -27.799560 0.9400 0.8773 1.1853 1.1319 1.1913 0.9143 345.4317 331.7099
22402 GOODS-S 53.135260 -27.799560 0.8200 0.7388 1.2243 0.1632 1.5108 0.1465 976.9009 378.9170
22563 GOODS-S 53.135260 -27.799560 0.9000 0.9868 1.3436 0.9239 1.2182 0.6952 476.7516 433.3783
22695 GOODS-S 53.135260 -27.799560 0.9200 0.9200 1.0986 0.5193 1.1023 0.3827 256.9695 256.9695
22708 GOODS-S 53.135260 -27.799560 0.6900 0.6460 1.1704 0.1955 1.5158 0.1735 311.1420 240.5504
22765 GOODS-S 53.135260 -27.799560 0.5700 0.5494 1.4569 0.1862 3.0848 0.3516 429.2816 383.6684
22829 GOODS-S 53.135260 -27.799560 0.5600 0.4999 inf inf inf inf 1302.6905 1055.5620
22917 GOODS-S 53.135260 -27.799560 0.6700 0.6700 1.3375 0.3238 1.8608 0.3219 170.2561 170.2561
23136 GOODS-S 53.135260 -27.799560 0.8700 0.8453 1.3823 1.8753 1.0171 1.4379 471.9520 470.4739
23142 GOODS-S 53.135260 -27.799560 0.6600 0.6489 1.3472 0.1368 1.7986 0.1229 162.8737 133.9758
23172 GOODS-S 53.135260 -27.799560 0.6700 0.6700 1.4156 0.1947 1.8927 0.1765 235.0915 235.0915
23215 GOODS-S 53.135260 -27.799560 1.0800 1.1341 1.1519 0.4004 1.3018 0.3404 462.7077 396.4852
23407 GOODS-S 53.135260 -27.799560 0.6800 0.6800 1.2537 0.2069 1.6390 0.1830 405.1114 405.1114
23524 GOODS-S 53.135260 -27.799560 0.8300 0.6838 1.0592 0.6675 1.1740 0.5456 468.6301 397.7650
24367 GOODS-S 53.135260 -27.799560 0.7200 0.4997 inf inf inf inf 277.2587 221.4614
24480 GOODS-S 53.135260 -27.799560 0.9500 0.9370 1.1471 0.2490 1.1069 0.1812 480.8912 462.9275
24599 GOODS-S 53.135260 -27.799560 0.8100 1.4021 0.7716 1.3387 1.6717 1.6876 411.5308 308.2670
24717 GOODS-S 53.135260 -27.799560 0.7400 0.7400 1.1460 1.8423 0.7832 1.0770 194.0077 194.0077
24770 GOODS-S 53.135260 -27.799560 0.9400 0.9939 1.1409 0.8711 1.0826 0.6339 226.8632 217.9045
25164 GOODS-S 53.135260 -27.799560 0.6600 0.4226 nan nan inf inf 347.0950 303.6100
25205 GOODS-S 53.135260 -27.799560 0.9700 0.9314 1.1116 0.1234 1.2734 0.0995 2001.3191 1805.2139
25474 GOODS-S 53.135260 -27.799560 0.8300 0.8059 1.1761 0.5083 1.5356 0.4747 352.6398 345.6086
26158 GOODS-S 53.135260 -27.799560 0.6600 0.6600 1.4265 0.1574 1.8852 0.1398 174.0068 174.0068
26450 GOODS-S 53.135260 -27.799560 0.6800 0.6579 1.1435 0.4277 1.3154 0.3125 373.8629 356.9557
26614 GOODS-S 53.135260 -27.799560 0.7600 0.7600 2.1600 9.1785 2.7267 7.9897 299.6799 299.6799
26909 GOODS-S 53.135260 -27.799560 1.0700 1.1149 0.8863 0.1133 0.4426 0.0775 18929.2229 18071.5826
27304 GOODS-S 53.135260 -27.799560 0.7400 0.7058 1.3806 0.5095 1.4150 0.3904 278.9802 237.2388
27562 GOODS-S 53.135260 -27.799560 0.8900 0.8900 1.0629 0.3255 1.1095 0.2527 432.3146 432.3146
27974 GOODS-S 53.135260 -27.799560 0.6800 0.6689 1.3409 0.2910 1.9253 0.2896 334.5245 327.3672
28280 GOODS-S 53.135260 -27.799560 0.9300 1.0304 0.6686 0.9623 1.0177 0.8805 277.1320 273.3373
28310 GOODS-S 53.135260 -27.799560 0.7400 0.8452 1.4595 0.5337 1.2298 0.2997 488.1138 427.0049
29322 GOODS-S 53.135260 -27.799560 0.9600 0.9342 1.1489 0.2238 1.1464 0.1724 655.0080 588.5810
29515 GOODS-S 53.135260 -27.799560 0.7100 0.6233 1.0584 0.6118 1.2797 0.4701 313.1119 285.6503
29626 GOODS-S 53.135260 -27.799560 1.0000 1.3404 1.9973 1.6969 3.7746 1.9416 2073.3883 1325.2895
29922 GOODS-S 53.135260 -27.799560 1.1400 1.0060 0.9506 0.6535 1.2936 0.5851 474.5613 414.4234
