# libname formtime tau mass_wht_age logmstar
bc03 9.88930171 63.095 9.46818948 7.84402437732
fsps 9.9 0.01 9.8493826 7.84402437732
bc03 9.88930171 63.095 9.46818948 8.57571917026
fsps 9.9 0.02511886 7.92245334 8.57571917026
bc03 8.00654305 63.095 7.57109256 9.51637549023
fsps 8.05 63.09573445 7.61339867 9.51637549023
bc03 9.88930171 0.01 9.88873779 7.84402437732
fsps 9.9 0.01584893 9.89912899 7.84402437732
bc03 9.88930171 63.095 9.33513553 8.57571917026
fsps 9.9 6.30957344 9.59025403 8.57571917026
bc03 9.75966785 63.095 9.33513553 9.51637549023
fsps 9.9 10. 9.54746091 9.51637549023
bc03 9.88930171 63.095 9.50644102 10.3542759466
fsps 9.9 3.98107171 9.64924991 10.3542759466
bc03 9.88930171 6.3095 9.5768207 8.57571917026
fsps 9.9 0.01584893 9.89912899 8.57571917026
bc03 9.88930171 3.981 9.5768207 9.51637549023
fsps 9.9 0.01 9.89912899 9.51637549023
bc03 9.84509804 0.01 9.84447362 10.3542759466
fsps 9.9 0.01584893 9.89912899 10.3542759466
bc03 9.88930171 0.01 9.88873779 8.57571917026
fsps 9.9 0.01584893 9.89912899 8.57571917026
bc03 9.88930171 0.01 9.88873779 9.51637549023
fsps 9.9 1.58489319 9.78835559 9.51637549023
bc03 9.88930171 1.5848 9.57286424 10.3542759466
fsps 9.9 0.39810717 9.87700961 10.3542759466
bc03 9.88930171 0.01 9.70583916 11.2320833333
fsps 9.9 0.01584893 9.89912899 11.2320833333
bc03 9.88930171 2.5118 9.70583916 10.3542759466
fsps 9.9 0.01584893 9.89912899 10.3542759466
bc03 9.88930171 0.01 9.88873779 11.2320833333
fsps 9.9 1. 9.83565887 11.2320833333
