#  template_name  redshift
bc03_template_4.00_gyr.txt  0.153
bc03_template_0.10_gyr.txt  0.172
bc03_template_4.00_gyr.txt  0.150
bc03_template_0.30_gyr.txt  0.193
bc03_template_0.30_gyr.txt  0.140
bc03_template_1.00_gyr.txt  0.152
bc03_template_0.10_gyr.txt  0.167
bc03_template_1.00_gyr.txt  0.138
bc03_template_0.10_gyr.txt  0.157
bc03_template_0.10_gyr.txt  0.176
bc03_template_1.00_gyr.txt  0.187
bc03_template_6.00_gyr.txt  0.230
bc03_template_0.50_gyr.txt  0.175
bc03_template_0.50_gyr.txt  0.154
bc03_template_0.10_gyr.txt  0.114
bc03_template_4.00_gyr.txt  0.145
bc03_template_4.00_gyr.txt  0.151
bc03_template_2.00_gyr.txt  0.186
bc03_template_6.00_gyr.txt  0.168
bc03_template_1.00_gyr.txt  0.200
bc03_template_0.50_gyr.txt  0.163
bc03_template_2.00_gyr.txt  0.160
bc03_template_0.30_gyr.txt  0.129
bc03_template_0.50_gyr.txt  0.191
bc03_template_0.30_gyr.txt  0.106
bc03_template_0.50_gyr.txt  0.169
bc03_template_6.00_gyr.txt  0.139
bc03_template_6.00_gyr.txt  0.108
bc03_template_1.00_gyr.txt  0.138
bc03_template_6.00_gyr.txt  0.158
bc03_template_6.00_gyr.txt  0.179
bc03_template_0.30_gyr.txt  0.181
bc03_template_0.50_gyr.txt  0.178
bc03_template_4.00_gyr.txt  0.195
bc03_template_6.00_gyr.txt  0.165
bc03_template_0.50_gyr.txt  0.197
bc03_template_0.10_gyr.txt  0.126
bc03_template_2.00_gyr.txt  0.225
bc03_template_0.50_gyr.txt  0.141
bc03_template_6.00_gyr.txt  0.138
bc03_template_0.10_gyr.txt  0.121
bc03_template_0.50_gyr.txt  0.135
bc03_template_0.50_gyr.txt  0.145
bc03_template_0.30_gyr.txt  0.142
bc03_template_0.30_gyr.txt  0.146
bc03_template_4.00_gyr.txt  0.146
bc03_template_0.10_gyr.txt  0.161
bc03_template_1.00_gyr.txt  0.105
bc03_template_0.10_gyr.txt  0.159
bc03_template_0.10_gyr.txt  0.174
bc03_template_0.30_gyr.txt  0.188
bc03_template_2.00_gyr.txt  0.159
bc03_template_2.00_gyr.txt  0.162
bc03_template_1.00_gyr.txt  0.205
bc03_template_0.50_gyr.txt  0.168
